"type","subtype","size","region","massCO2PerMassDistance","massCH4PerMassDistance","massN2OPerMassDistance","units","source"
"shipping","container vessel","small (2500 tonnes deadweight)","uk",0.02920000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","container vessel","small (2500 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","Large (18371 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","Large (18371 tonnes deadweight)","uk",0.01328600000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","Large (18371 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","small (844 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","small (844 tonnes deadweight)","uk",0.04861800000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","small (844 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","very large (100000 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","very large (100000 tonnes deadweight)","uk",0.00861400000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","tanker","very large (100000 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.305 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.305 tonnes","uk",1.71329813740926,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
