"country","massCO2PerEnergy","units","source"
"Cote d'Ivoire","0.4362172",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Croatia ","0.3183980",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cuba","1.0194389",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cyprus","0.7582802",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Czech Republic","0.5266290",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Denmark","0.3413390",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Dominican Republic","0.6238551",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ecuador","0.3957349",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Egypt","0.4698084",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"El Salvador","0.2167277",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Eritrea","0.6903420",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Estonia","0.6401581",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethiopia","0.0029140",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Finland","0.2415920",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"France","0.0849530",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gabon","0.3466605",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Georgia","0.1449678",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Germany","0.4036290",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ghana","0.2756985",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gibraltar","0.7304305",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Greece","0.7249640",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Guatemala","0.3344147",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Haiti","0.3051825",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Honduras","0.4132526",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hong Kong","0.8546126",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hungary","0.3439270",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Iceland","0.0005420",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"India","0.9440385",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Indonesia","0.6767253",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Islamic Republic of Iran","0.5143547",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Iraq","0.7009096",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ireland","0.5353330",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Israel","0.7736510",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Italy","0.4035120",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jamaica","0.8297551",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Japan","0.4183460",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jordan","0.6018739",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kazakhstan","0.5200265",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kenya","0.3174905",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Dem. People's Republic of Korea","0.5331955",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Korea","0.4643370",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kuwait","0.6429168",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kyrgyzstan","0.0791610",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Latvia","0.1673881",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lebanon","0.6946497",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Libya","0.8788286",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lithuania","0.1394820",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Luxembourg","0.3260470",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"FYR of Macedonia","0.6189059",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Malaysia","0.6553582",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Malta","0.8340854",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mexico","0.5412850",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Republic of Moldova","0.4755680",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mongolia","0.5233100",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Morocco","0.7079012",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mozambique","0.0010178",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Myanmar","0.3382211",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Namibia","0.0756469",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nepal","0.0037996",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Netherlands","0.3943150",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Netherlands Antilles","0.7170685",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"New Zealand","0.3091000",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nicaragua","0.5497637",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nigeria","0.3861378",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Norway","0.0068670",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oman","0.8561127",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Pakistan","0.4128082",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Panama","0.2288439",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraguay","0.0000000",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peru","0.1723235",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Philippines","0.4350061",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Poland","0.6586500",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Portugal","0.4164240",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Qatar","0.6257141",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Romania","0.4286050",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Russia","0.3285654",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Saudi Arabia","0.7553734",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Senegal","0.7258949",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Serbia and Montenegro","0.7155911",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Singapore","0.5360586",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovak Republic","0.2234120",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovenia ","0.3317589",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"South Africa","0.8689996",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Spain","0.3497940",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sri Lanka","0.3137244",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sudan","0.6139183",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sweden","0.0479660",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Switzerland","0.0257230",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Syria","0.6043992",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tajikistan","0.0280183",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Republic of Tanzania","0.3155122",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Thailand","0.5109283",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Togo","0.4586697",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Trinidad and Tobago","0.7243096",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tunisia","0.5458586",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Turkey","0.4382220",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Turkmenistan","0.7951304",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ukraine","0.3443288",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Arab Emirates","0.8199856",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Kingdom","0.5047330",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"United States","0.5586600",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uruguay","0.2963499",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uzbekistan","0.4463600",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Venezuela","0.2084422",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Vietnam","0.3963138",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Yemen","0.8230311",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Zambia","0.0067574",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Zimbabwe","0.5727689",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Africa","0.4886113",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Latin America","0.5089928",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Asia","0.3078166",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Memo: European Union - 27","0.3408600",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Memo: Former Yugoslavia","0.5765200",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Memo: Economies in Transition","0.3622600",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"World","0.5017400",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD North America","0.5245400",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD Pacific","0.4832100",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD Europe","0.3255600",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Africa","0.6427400",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Latin America","0.1969700",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Middle East","0.6901100",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Non-OECD Europe","0.4785900",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Former USSR","0.3514700",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Asia (excluding China)","0.7283000",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
