"gas","name","formula","GWP","residenceTime","gwp_SAR_100","gwp_4AR_20","gwp_4AR_100","gwp_4AR_500","units","source"
"HFE-125","HFE-125","CHF2OCF3",14900.000,136.000,,13800.000,14900.000,8490.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-134","HFE-134","CHF2OCHF2",6320.000,26.000,,12200.000,6320.000,1960.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-143a","HFE-143a","CH3OCF3",756.000,4.300,,2630.000,756.000,230.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-236ca12","HFE-236ca12","CHF2OCF2OCHF2",2800.000,12.100,,8000.000,2800.000,860.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-245cb2","HFE-245cb2","CH3OCF2CHF2",708.000,5.100,,2400.000,708.000,215.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-245fa2","HFE-245fa2","CHF2OCH2CF3",659.000,4.900,,2280.000,659.000,200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-254cb2","HFE-254cb2","CH3OCF2CHF2",359.000,2.600,,1260.000,359.000,109.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-338pcc13","HFE-338pcc13","CHF2OCF2CF2OCHF2",1500.000,6.200,,5100.000,1500.000,460.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-347mcc3","HFE-347mcc3","CH3OCF2CF2CF3",575.000,5.200,,1980.000,575.000,175.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-347pcf2","HFE-347pcf2","CHF2CF2OCH2CF3",580.000,7.100,,1900.000,580.000,175.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-356pcc3","HFE-356pcc3","CH3OCF2CF2CHF2",110.000,0.330,,386.000,110.000,33.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-43-10pccc124","HFE-43-10pccc124","CHF2OCF2OC2F4OCHF2",1870.000,6.300,,6320.000,1870.000,569.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-449sl","HFE-449sl","C4F9OCH3",297.000,3.800,,1040.000,297.000,90.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-569sf2","HFE-569sf2","C4F9OC2H5",59.000,0.770,,207.000,59.000,18.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"N2O","nitrous oxide","N20",310.000,114.000,310.000,289.000,298.000,153.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"NF3","nitrogen trifluoride","NF3",17200.000,740.000,,12300.000,17200.000,20700.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"PFPMIE","PFPMIE","CF3OCF(CF3)CF2OCF2OCF3",10300.000,800.000,,7620.000,10300.000,12400.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"R290","R290","C2H8",3.300,,,,3.300,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R404a","R404a","52:44:4 blend of HFC-143a, -125 and -134a",3260.000,,3260.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R406a","R406a","55:41:4 blend of HCFC-22, HCFC-142b and R600a",1943.000,,,,1943.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R407c","R407c","23:25:52 blend of HFC-32, -125 and -134a",1526.000,,1526.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R408a","R408a","47:7:46 blend HCFC-22, HFC-125 and HFC-143a",2795.000,,2795.000,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R409a","R409a","60:25:15 blend of HCFC-22, HCFC-124 and HCFC-142b",1585.000,,,,1585.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R410a","R410a","50:50 blend of HFC-32 and -125",1725.000,,1725.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R417a","R417a","46.6:50:3.4 blend of R-125, R-134a and R-600",1950.000,,1950.000,,,,,"http://www.refrigerants.com/frame.htm"
"R422A","R422A","85.1:11.5:3.4 blend of R-125, R-134a and R-600a",2530.000,,2530.000,,,,,"http://www.refrigerants.com/frame.htm"
"R502","R502","48.8:51.2 blend of HCFC-22 and CFC-115",4657.000,,,,4657.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R507","R507","50:50 blend of HFC-125 and HFC-143a",3300.000,,3300.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R508b","R508b","46:54 blend of HFC-23 and PFC-116",10350.000,,10350.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R600a","R600a","C4H10",0.001,,,,0.001,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"SF5CF3","trifluoromethyl sulphur pentafluoride","SF5CF3",17700.000,800.000,,13200.000,17700.000,21200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"SF6","sulphur hexafluoride","SF6",23900.000,3200.000,23900.000,16300.000,22800.000,32600.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
