homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,2,lpg,1930-1995,boiler (average-5-10yrs old),5767,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,1930-1995,boiler (new-less than 5 yrs old),5190,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,1930-1995,boiler (condensing),4719,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,pre 1930,boiler (old-12-15yrs old),8846,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,pre 1930,boiler (average-5-10yrs old),7372,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,pre 1930,boiler (new-less than 5 yrs old),6634,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,pre 1930,boiler (condensing),6031,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,post 1995,boiler (old-12-15yrs old),4523,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,post 1995,boiler (average-5-10yrs old),3769,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,post 1995,boiler (new-less than 5 yrs old),3392,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,post 1995,boiler (condensing),3084,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,1930-1995,boiler (wood chip/pellets),741,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,1930-1995,stove,2498,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,pre 1930,boiler (wood chip/pellets),966,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,pre 1930,stove,2722,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,post 1995,boiler (wood chip/pellets),474,kgco2/year,defra/bre/dgen 2007,
detached house,2,biomass,post 1995,stove,2231,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,1930-1995,boiler-manual feed,11803,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,1930-1995,boiler automatic (gravity) feed,10819,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,1930-1995,open fires,18777,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,1930-1995,closed room heaters,10892,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,pre 1930,boiler-manual feed,15371,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,pre 1930,boiler automatic (gravity) feed,14090,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,pre 1930,open fires,24911,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,pre 1930,closed room heaters,14163,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,post 1995,boiler-manual feed,7552,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,post 1995,boiler automatic (gravity) feed,6922,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,post 1995,open fires,11471,kgco2/year,defra/bre/dgen 2007,
detached house,2,coal,post 1995,closed room heaters,6995,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,1930-1995,modern storage heaters (slim line),11331,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,1930-1995,old storage heaters (large volume),11331,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,1930-1995,room heaters (convector panel or radiant heaters),9768,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,pre 1930,modern storage heaters (slim line),14802,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,pre 1930,old storage heaters (large volume),14802,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,pre 1930,room heaters (convector panel or radiant heaters),12474,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,post 1995,modern storage heaters (slim line),7231,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,post 1995,old storage heaters (large volume),7231,kgco2/year,defra/bre/dgen 2007,
detached house,2,electricity,post 1995,room heaters (convector panel or radiant heaters),6399,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,boiler (old-12-15yrs old),6336,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,boiler (average-5-10yrs old),5280,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,boiler (new-less than 5 yrs old),4874,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,room heaters,7197,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,warm air,5431,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,back boiler,5849,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,1930-1995,boiler (condensing),4320,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,boiler (old-12-15yrs old),8099,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,boiler (average-5-10yrs old),6749,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,boiler (new-less than 5 yrs old),6230,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,room heaters,9020,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,warm air,6942,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,back boiler,7476,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,pre 1930,boiler (condensing),5522,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,boiler (old-12-15yrs old),4141,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,boiler (average-5-10yrs old),3451,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,boiler (new-less than 5 yrs old),3185,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,room heaters,4926,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,warm air,3549,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,back boiler,3822,kgco2/year,defra/bre/dgen 2007,
detached house,2,gas,post 1995,boiler (condensing),2823,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,boiler (old-12-15yrs old),8400,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,boiler (average-5-10yrs old),6825,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,boiler (new-less than 5 yrs old),6424,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,room heaters,10188,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,boiler (condensing),6067,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,1930-1995,warm air,7800,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,boiler (old-12-15yrs old),10762,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,boiler (average-5-10yrs old),8744,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,boiler (new-less than 5 yrs old),8230,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,room heaters,12979,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,boiler (condensing),7772,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,pre 1930,warm air,9993,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,boiler (old-12-15yrs old),5453,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,boiler (average-5-10yrs old),4431,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,boiler (new-less than 5 yrs old),4170,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,room heaters,6705,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,boiler (condensing),3938,kgco2/year,defra/bre/dgen 2007,
detached house,3,oil,post 1995,warm air,5063,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,1930-1995,boiler (old-12-15yrs old),7878,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,1930-1995,boiler (average-5-10yrs old),6565,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,1930-1995,boiler (new-less than 5 yrs old),5909,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,1930-1995,boiler (condensing),5372,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,pre 1930,boiler (old-12-15yrs old),10103,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,pre 1930,boiler (average-5-10yrs old),8419,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,pre 1930,boiler (new-less than 5 yrs old),7577,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,pre 1930,boiler (condensing),6888,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,post 1995,boiler (old-12-15yrs old),5107,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,post 1995,boiler (average-5-10yrs old),4256,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,post 1995,boiler (new-less than 5 yrs old),3830,kgco2/year,defra/bre/dgen 2007,
detached house,3,lpg,post 1995,boiler (condensing),3482,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,1930-1995,boiler (wood chip/pellets),846,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,1930-1995,stove,2715,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,pre 1930,boiler (wood chip/pellets),1105,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,pre 1930,stove,2974,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,post 1995,boiler (wood chip/pellets),537,kgco2/year,defra/bre/dgen 2007,
detached house,3,biomass,post 1995,stove,2407,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,1930-1995,boiler-manual feed,13460,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,1930-1995,boiler automatic (gravity) feed,12338,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,1930-1995,open fires,21527,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,1930-1995,closed room heaters,12415,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,pre 1930,boiler-manual feed,17583,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,pre 1930,boiler automatic (gravity) feed,16118,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,pre 1930,open fires,28614,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,pre 1930,closed room heaters,16195,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,post 1995,boiler-manual feed,8546,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,post 1995,boiler automatic (gravity) feed,7834,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,post 1995,open fires,13083,kgco2/year,defra/bre/dgen 2007,
detached house,3,coal,post 1995,closed room heaters,7912,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,1930-1995,modern storage heaters (slim line),12923,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,1930-1995,old storage heaters (large volume),12923,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,1930-1995,room heaters (convector panel or radiant heaters),11117,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,pre 1930,modern storage heaters (slim line),16934,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,pre 1930,old storage heaters (large volume),16934,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,pre 1930,room heaters (convector panel or radiant heaters),14243,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,post 1995,modern storage heaters (slim line),8184,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,post 1995,old storage heaters (large volume),8184,kgco2/year,defra/bre/dgen 2007,
detached house,3,electricity,post 1995,room heaters (convector panel or radiant heaters),7223,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,boiler (old-12-15yrs old),7213,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,boiler (average-5-10yrs old),6011,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,boiler (new-less than 5 yrs old),5549,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,room heaters,8145,kgco2/year,defra/bre/dgen 2007,
