"region","poultrySubtype","managementType","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"middle east","ducks","without litter",0.83,0.005,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","ducks","without litter",0.83,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","ducks","without litter",0.83,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","ducks","without litter",0.83,0.020,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","ducks","without litter",0.83,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","hens older than 1 year","without litter",0.83,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","hens older than 1 year","without litter",0.82,0.005,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","hens older than 1 year","without litter",0.82,0.001,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","hens older than 1 year","without litter",0.82,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","hens older than 1 year","without litter",0.82,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","hens older than 1 year","without litter",0.82,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","hens older than 1 year","without litter",0.82,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","hens older than 1 year","without litter",0.96,0.020,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","other chickens","without litter",0.82,0.100,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","other chickens","without litter",0.82,0.020,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","other chickens","without litter",0.82,0.005,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","other chickens","without litter",0.82,0.000,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","other chickens","without litter",0.83,0.020,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","other chickens","without litter",0.83,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","other chickens","without litter",0.82,0.006,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","other chickens","without litter",0.82,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","pullets","without litter",0.55,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","pullets","without litter",0.6,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","pullets","without litter",0.6,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","pullets","without litter",0.6,0.002,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","pullets","without litter",0.62,0.070,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","pullets","without litter",0.6,0.020,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","pullets","without litter",0.6,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","pullets","without litter",0.6,0.006,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","turkeys","without litter",0.74,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","turkeys","without litter",0.74,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","turkeys","without litter",0.74,0.000,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","turkeys","without litter",0.74,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","turkeys","without litter",0.74,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","turkeys","without litter",0.74,0.006,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","turkeys","without litter",0.74,0.010,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","turkeys","without litter",0.74,0.002,0.550,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","broilers","anaerobic lagoon",1.1,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
