"reference","title","author","year","publisher","isbn","units","source"
16,"Assessment of the automotive assembly paint process for energy, environmental and economic improvement","Geoffrey J Roelant, Amber J Kemppainen and david R Shonnard",2004,"Journal of Industrial Ecology, Volume 8, Number 1-2",,,"http://people.bath.ac.uk/cj219/"
17,"Assessment of the decrease of CO2 emissions in the construction field through the selection of materials: Practical case study of three houses of low environmental impact","Maria Jesus Gonzalez, Justo Garcia Navarro",2005,"Building And Environment; Article in press",,,"http://people.bath.ac.uk/cj219/"
18,"Australian LCA data - SimaPro Data","RMIT Uni, Victoria University Australia",1998,"RMIT Uni, Victoria University Australia",,,"http://people.bath.ac.uk/cj219/"
19,"Background document for life cycle greenhouse gas emission factors for carpet and personal computers","US environment Protection Agency",2003,"US environment Protection Agency",,,"http://people.bath.ac.uk/cj219/"
20,"Background Document for Life-Cycle Greenhouse Gas Emission Factors for Carpet and Personal Computers","US environmental protection agency",2003,"US environmental protection agency",,,"http://people.bath.ac.uk/cj219/"
21,"Best Available Techniques for the Cement Industry","Cembureau",1999,"cembureau",,,"http://people.bath.ac.uk/cj219/"
22,"Birth to death analysis of the energy payback ratio and CO2 gas emission rates from coal, fission, wind and DT-fusion electrical power plants","Scott W White and Gerald L Kulcinski",2000,"Fusion engineering and design 48, 2000, Pg 473-481",,,"http://people.bath.ac.uk/cj219/"
23,"Building energy performance: A LCA case study of kenaf-fibres insulation board","Fulvio Ardente, Marco Beccali, Maurizio Cellura, Marina Mistretta",2008,"Energy and Buildings 40 (2008) 1–10",,,"http://people.bath.ac.uk/cj219/"
24,"Building materials energy and the environment: Towards ecologically sustainable development","Bill Lawson",1996,"The Royal Australian Institute of Architects","1863180230",,"http://people.bath.ac.uk/cj219/"
25,"Building Research Establishment (BRE) environmental profiles - Clay tiles","Building Research Establishment (BRE)",1996,"Building Research Establishment (BRE)",,,"http://people.bath.ac.uk/cj219/"
26,"Building Research Establishment (BRE) Environmental profiles - Glass wool","Building Research Establishment (BRE)",1999,"Building Research Establishment (BRE)",,,"http://people.bath.ac.uk/cj219/"
27,"Building Research Establishment (BRE) environmental profiles - UK kiln dried timber (softwood)","Building Research Establishment (BRE)",1996,"Building Research Establishment (BRE)",,,"http://people.bath.ac.uk/cj219/"
28,"Building the Environmental Performance of UK Forest Products into Construction","J S Mundy and P W Bonfield",2000,"BRE",,,"http://people.bath.ac.uk/cj219/"
29,"Bulk polymerised PVC LCI Data Summary","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
30,"Bulk polymerised PVC LCI Data Summary in Excel","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
31,"Ceramic Floor and Wall Tile: An Ecological Building Material","Giorgio Timellini, Carlo Palmonari & Alberto Fregni",2005,"Tile Today, Issue 46",,,"http://people.bath.ac.uk/cj219/"
32,"Characterization of automotive paints: an environmental impact analysis","Stella Papasavva, Sheila Kia, Joseph Claya, Raymond Gunther",2001,"Progress in Organic Coatings 43 (2001) 193–206",,,"http://people.bath.ac.uk/cj219/"
33,"CIBSE Guide A: Environmental Design","Chartered institute of Building Service Engineers (CIBSE)",2006,"Chartered institute of Building Service Engineers (CIBSE)","1903287669",,"http://people.bath.ac.uk/cj219/"
34,"Closing Carbon Cycles, Chapter 4 - Gross energy requirements (GER) and gross CO2 emissions for products of the organic chemical industry","Martin Patel, E Jochem",1999,"Utrecht university, The Netherlands",,,"http://people.bath.ac.uk/cj219/"
35,"CO2 emissions of the Swedish steel industry","Hans Sandberg, Rune Lagneborg et al",2001,"Scandinavian Journal of Metallurgy",,,"http://people.bath.ac.uk/cj219/"
36,"Comparative analysis of available life cycle inventories of cement in the EU","Alejandro Josa, Antonio Aguado, Atte Heino, Ewan Byars and Arnaldo Carmin",2002,"Cement and concrete journal 34 (2004) published by Peragmon, Elsevier",,,"http://people.bath.ac.uk/cj219/"
37,"Comparative Analysis of Embodied Energy Rates for Walling Elements in India","P S Chani, Najamuddin & S K Kaushik",2003,"Journal of the Institution of Engineers (India)",,,"http://people.bath.ac.uk/cj219/"
38,"Comparative energy evaluation of plastic products and their alternatives for the building and construction and transportation industries","Franklin Associates",1991,"The Society of the plastics industry",,,"http://people.bath.ac.uk/cj219/"
39,"Comparative environmental life cycle assessment of composite materials","O M De Vegt & W G Haije",1997,"unknown, reference number ECN-I-97-050",,,"http://people.bath.ac.uk/cj219/"
40,"Comparative Life Cycle Assessment of Flooring Materials: Ceramic versus Marble Tile","Giuseppe M. Nicoletti a, Bruno Notarnicola & Giuseppe Tassielli",2000,"Journal of Cleaner Production; 10, 2002, pg 283-296",,,"http://people.bath.ac.uk/cj219/"
41,"Comparative Life Cycle Assessment of Three Insulation Materials: Stone Wool, Flax and Paper Wool","Anders Schmidt, Anders Ulf Clausen, Allan Astrup Jensen, and Ole Kamstrup",2003,"LCA Documents 8, Eco-Informa Press","3-928379-60-7",,"http://people.bath.ac.uk/cj219/"
42,"Comparing energy use and environmental emissions of reinforced wood doors and steel doors","Lynn knight, Melissa Huff, Janet I Stockhausen & Robert J Ross",2005,"Forest Products Journal, June 2005, Vol 55, No 6",,,"http://people.bath.ac.uk/cj219/"
43,"Comparison of environmental impacts of two residential heating systems","Lijun Yang, Radu Zmeureanu & Huges Rivard",2007,"Article in Press, Building and Environment, doi:10.1016/j.buildenv.2007.02.007",,,"http://people.bath.ac.uk/cj219/"
44,"Concrete building blocks made with recycled demolition aggregate","M N Soutsos, S G Millard, J H Bungey",2006,"Concrete Plant International, August 2006",,,"http://people.bath.ac.uk/cj219/"
45,"Concrete with Ceramic Waste Aggregate","R M Senthamarai and P Devadas Manoharan",2005,"Cement & Concrete Composites",,,"http://people.bath.ac.uk/cj219/"
46,"Confederation of paper industries web address: http://www.paper.org.uk/","Confederation of paper industries",2005,"Confederation of the paper industries",,,"http://people.bath.ac.uk/cj219/"
47,"Conservation of energy and natural resources by recycling building waste","C Thormark",2001,"Resources Conservation & Recycling",,,"http://people.bath.ac.uk/cj219/"
48,"Conversion processes for polyolefin's","I Boustead",2003,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
49,"Copper Environmental Profile","Kennecott Utah Copper Corporation",2004,"Kennecott Utah Copper Corporation",,,"http://people.bath.ac.uk/cj219/"
50,"Cradle-to-Gate Study of Red Clay for Use in the Ceramic Industry","María-Dolores Bovea, Úrsula Saura, Jose Luis Ferrero and Josep Giner",2007,"International Journal of LCA 12 (6) 439 – 447. DOI: http://dx.doi.org/10.1065/lca2006.06.252",,,"http://people.bath.ac.uk/cj219/"
51,"Data needed for environmental assessment of building projects","Hanne Krogh and klaus Hansen",1994,"Danish Building research institute (SBI). Proceedings of the CIB conference on buildings and the environment.",,,"http://people.bath.ac.uk/cj219/"
52,"Defining and Improving Environmental Performance in the Concrete Industry","D Higgins, L Parrott & L Sear",2000,"DETR & UK Concrete Alliance",,,"http://people.bath.ac.uk/cj219/"
53,"ECFA Environmental Declaration Plasticising Admixtures","ECFA - European Federation of Concrete Admixture Association",2006,"ECFA - European Federation of Concrete Admixture Association",,,"http://people.bath.ac.uk/cj219/"
54,"Ecohouse 2: A Design Guide","Sue Roaf, Manuel Fuentes & Stephanie Thomas",2003,"Architectural Press (Elsevier)","750657340",,"http://people.bath.ac.uk/cj219/"
55,"Ecology of Building Materials","Bjorn Berge",2000,"Architectural press","750633948",,"http://people.bath.ac.uk/cj219/"
56,"ECO-Profiles of the European Plastics Industry, Methodology","I Boustead",2003,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
57,"EEE: A prototype tool for the evaluation of embodied energy and greenhouse gas emissions of exterior envelope of Canadian houses","Rym Baouendi, Radu Zmeureanu, Brian Bradley & Avi Friedman",2002,"Centre for Building Studies, Department of Building, Civil and Environmental Engineering, Concordia University, Montreal, Quebec, Canada",,,"http://people.bath.ac.uk/cj219/"
58,"Embodied CO2 of factory made cements and combinations, fact sheet 18 (P2)","Chris Clear, Denis  Higgins and Lindon Sear",2009,"British Cement Association (BCA)",,,"http://people.bath.ac.uk/cj219/"
59,"Embodied CO2 of UK cement, additions and cementitious material, fact sheet 18 (P1)","Chris Clear, Denis  Higgins and Lindon Sear",2009,"British Cement Association (BCA)",,,"http://people.bath.ac.uk/cj219/"
60,"Embodied energy - detailed methodology","Tim Grant at the Centre for Design at RMIT",2001,"Centre for Design RMIT University Australia",,,"http://people.bath.ac.uk/cj219/"
61,"Embodied energy analysis of New Zealand building materials","Alcorn and Baird",1996,"Embodied Energy - The Current State of Play, Deakin University, Nov 1996",,,"http://people.bath.ac.uk/cj219/"
62,"Embodied energy and carbon dioxide emissions for building materials","John West, Carol Atkinson & Nigel Howard",1994,"Proceedings of the CIB conference on buildings and the environment, BRE",,,"http://people.bath.ac.uk/cj219/"
63,"Embodied Energy and CO2 Coefficients for NZ Building Materials","Andrew Alcorn",2003,"Centre for Building Performance Research, Victoria University of Wellington",,,"http://people.bath.ac.uk/cj219/"
64,"Embodied Energy and CO2 Emissions of Wood and Concrete Framed Buildings in Sweden","L Gustavsson & R Sathre",2004,"Ecotechnology, Mid-Sweden university",,,"http://people.bath.ac.uk/cj219/"
65,"Embodied Energy Coefficients of Building Materials","Andrew Alcorn",1996,"Centre for Building Performance Research, Victoria University of Wellington",,,"http://people.bath.ac.uk/cj219/"
66,"Embodied energy in buildings: Wood versus concrete - reply to Borjesson and Gustavsson","M Lenzen and G Treloar",2002,"Energy Policy 30, 2002, 249-255",,,"http://people.bath.ac.uk/cj219/"
67,"Embodied energy of common and alternative building materials and technologies","B V Venkaarama Reddy & K S Jagadish",2001,"Energy and buildings, Elsevier",,,"http://people.bath.ac.uk/cj219/"
68,"Energy Analysis","Edited by John A G Thomas",1977,"IPC science Press Technology","902852604",,"http://people.bath.ac.uk/cj219/"
69,"Energy and environmental impact analysis of double-glazed windows","G Weir and T Muneer",1996,"Napier university",,,"http://people.bath.ac.uk/cj219/"
70,"Energy consumption and associated greenhouse gas emissions related to maintenance of a residential structure","Paul Winistorfer & Zhangjing Chen",2004,"CORRIM",,,"http://people.bath.ac.uk/cj219/"
71,"Energy consumption of asphalt and reinforced concrete pavement materials and construction","Pablo Zapata & John Gambatese",2005,"Journal of infrastructure systems, March 2005",,,"http://people.bath.ac.uk/cj219/"
72,"Energy Performance of buildings","George Baird, Michael R Donn",1984,"CRC Press Inc.","849351863",,"http://people.bath.ac.uk/cj219/"
73,"Energy use during the life cycle of buildings: a method","K Adalberth",1997,"Building and environment, Vol 32, No. 4, pg 317-320",,,"http://people.bath.ac.uk/cj219/"
74,"Environmental assessment of bio-based polymers and natural fibres","Martin Patel, Catia Bastioli et al",2003,"Unknown",,,"http://people.bath.ac.uk/cj219/"
75,"Environmental Assessment of Brick Production in Greece","Christopher Koroneos & Aris Dompros",2006,"Bulding and Environment 42, 2007, Pg 2114-2123",,,"http://people.bath.ac.uk/cj219/"
76,"Environmental Benefits of Recycling - An international Review of Life Cycle Comparisons for Key Materials in the UK Recycling Sector","WRAP - Waste Resources Action Programme",2006,"WRAP - Waste Resources Action Programme",,,"http://people.bath.ac.uk/cj219/"
77,"Environmental burdens of concrete and concrete products","Sirje Vares & Tarja Häkkinen",1998,"Technical Research Centre of Finland, VTT Building Technology",,,"http://people.bath.ac.uk/cj219/"
78,"Environmental declaration of the VELFAC 200 window system according to the LCA principle (EDIP method)","Velfac",2006,"Teknologisk Institut (The Danish Technological Institute)",,,"http://people.bath.ac.uk/cj219/"
79,"Environmental Declaration, Nordic Timber Industry, ND Security Window","Nr 310181/1- Norwegian Institute of Wood Technology",2001,,,,"http://people.bath.ac.uk/cj219/"
80,"Environmental Fact Sheet - Elevator system Schindler 3100/3300/5300","QP 04017, Schindler",2005,,,,"http://people.bath.ac.uk/cj219/"
81,"Environmental Fact Sheet - Elevator system Schindler 7000","QP 03060, Schindler",2003,,,,"http://people.bath.ac.uk/cj219/"
82,"Environmental impact of building and construction materials, Volume B: Mineral products","R Clough and R Martyn",1995,"CIRIA, Construction Industry Research and Information Association","860178129",,"http://people.bath.ac.uk/cj219/"
83,"Environmental impact of building and construction materials, Volume C: Metals","N Howard",1995,"CIRIA, Construction Industry Research and Information Association","860178137",,"http://people.bath.ac.uk/cj219/"
84,"Environmental impact of building and construction materials, Volume D: Plastics and elastomers","R Clough and R Martyn",1995,"CIRIA, Construction Industry Research and Information Association","860178145",,"http://people.bath.ac.uk/cj219/"
85,"Environmental impact of building and construction materials, Volume E: Timber and timber products","J Newton and R Venables",1995,"CIRIA, Construction Industry Research and Information Association","860178153",,"http://people.bath.ac.uk/cj219/"
86,"Environmental impact of building and construction materials, Volume F: Paints and coatings, adhesives and sealants","R Bradley, A Griffiths and M Levitt",1995,"CIRIA, Construction Industry Research and Information Association","860178161",,"http://people.bath.ac.uk/cj219/"
87,"Environmental Impact of Coated Exterior Wooden Cladding","Tarja Häkkinen, Pirjo Ahola, Leila Vanhatalo, Arja Merra",1999,"VTT Building Technology",,,"http://people.bath.ac.uk/cj219/"
88,"Environmental Impact of producing hardwood lumber using life-cycle inventory","Richard D Bergman, Scott A Bowe",2008,"Wood and Fibre Science, 40(3). Pp 448-458",,,"http://people.bath.ac.uk/cj219/"
89,"Environmental LCI data for Rockwool Rollbatt","Price Waterhouse Coopers, PWC",2003,"Price Waterhouse Coopers, PWC",,,"http://people.bath.ac.uk/cj219/"
90,"Environmental Performance Evaluation of Thermal Insulation Materials and its Impact on the Building","A M Papadopoulos & E Giama",2006,"Building and Environment, Article in Press, doi:10.1016/j.buildenv.2006.04.012",,,"http://people.bath.ac.uk/cj219/"
91,"Environmental Product Declaration (ISO DIS 21 930) Glasal","Etex - Glasal",2007,,,,"http://people.bath.ac.uk/cj219/"
92,"Environmental Product Declaration for Steel Roof Cladding using Colorcoat HPS200","Corus",2005,,,,"http://people.bath.ac.uk/cj219/"
93,"Environmental product declaration of raw and melamine faced wood particleboard","SAIB S.p.A, Italy",2007,,,,"http://people.bath.ac.uk/cj219/"
94,"Environmental Resource guide","Joseph A Demkin",1997,"AIA, American institute of Architects","471140430",,"http://people.bath.ac.uk/cj219/"
95,"Environmental, economic and social analysis of materials for doors and windows in Sri Lanka","U G Yasantha Abeysundra, Sandhya Babel, Shabbir Gheewala & Alice Sharp",2006,"Building and Environment 42, 2007, Pg 2141-2149",,,"http://people.bath.ac.uk/cj219/"
96,"Environmental, Health, and Safety Guidelines for Cement and Lime Manufacturing","International Finance Corporation, World Bank Group",2007,"World Bank Group",,,"http://people.bath.ac.uk/cj219/"
97,"Epoxy resin LCI Data Summary","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
98,"Epoxy resin LCI Data Summary in excel format","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
99,"Estimate of energy consumption and CO2 emission associated with the production, use and final disposal of sheets made of PVC-P, MDPE and bituminous materials","José María Baldasano Recio, María Gonçalves Ageitos, Pedro Jiménez Guerrero",2005,"Universitat Politecnica de Catalunya",,,"http://people.bath.ac.uk/cj219/"
100,"Estimating the embodied energy of timber building products","Stephen Pullen",2000,"Journal of the institute of Wood Science, Vol 15 No.3, 2000",,,"http://people.bath.ac.uk/cj219/"
101,"EU ETS Phase II Benchmarks Supporting Documentation: Ceramics","Enviros Consulting Limited",2006,"Enviros Consulting Limited",,,"http://people.bath.ac.uk/cj219/"
102,"European Database for Corrugated Board Life Cycle Studies","FEFCO European Federation of Corrugated Board Manufacturers, & GEO & ECO",2006,"FEFCO European Federation of Corrugated Board Manufacturers, & GEO & ECO",,,"http://people.bath.ac.uk/cj219/"
103,"Eurostrand - Oriented Strand Board (OSB) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2005,"Declaration number: AUB-EHW-10305-E",,,"http://people.bath.ac.uk/cj219/"
104,"Evaluate the whole life environmental impact of glass in a fully glazed commercial building","Mohamed R Kiani, Andrew Miller et al",2005,"University of Brighton",,,"http://people.bath.ac.uk/cj219/"
105,"Evaluation of building environmental impacts: Two case studies","Stephen Carpenter & John Kokko",1996,"ASHRAE transactions",,,"http://people.bath.ac.uk/cj219/"
106,"Evaluation of CO2 payback time of power plants by LCA","K Tahara, T Kojima, A Inaba",1997,"Energy conservation and management, Vol 38",,,"http://people.bath.ac.uk/cj219/"
107,"Façade Panels and Level Panels - Textura / Natura, Eterplan - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2007,"Declaration number: AUB-ETE-10907-E",,,"http://people.bath.ac.uk/cj219/"
108,"Gate to Gate Life Cycle Inventory of Glued-Laminated Timbers Production","Maureen E Puettmann and James B Wilson",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 99-113",,,"http://people.bath.ac.uk/cj219/"
109,"Gate to Gate Life Cycle Inventory of I-Joist Production","James B Wilson & Eric R Dancer",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 85-98",,,"http://people.bath.ac.uk/cj219/"
110,"Gate to Gate Life Cycle Inventory of Laminated Veneer Lumber Production","James B Wilson & Eric R Dancer",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 114-127",,,"http://people.bath.ac.uk/cj219/"
111,"Gate to gate life cycle inventory of softwood lumber production","Michael R Milota, Cynthia D West & Ian D Hartley",2005,"Wood and Fibre Science, 37 Corrim Special issue, 2005, Pg 47-57",,,"http://people.bath.ac.uk/cj219/"
112,"Gate to Gate Life Cycle inventory of Softwood Plywood Production","James B Wilson and Eric T Sakimoto",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 58-73",,,"http://people.bath.ac.uk/cj219/"
113,"Gate to Gate Life Cycle Inventory of Oriented Strandboard Production","D Earl Kline",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 74-84",,,"http://people.bath.ac.uk/cj219/"
114,"GBC - The green building challenge handbook","Unknown",1995,"http://www.gbc-ziegelhandbuch.org/eng/main.asp?Menu=3",,,"http://people.bath.ac.uk/cj219/"
115,"Glass Recycling - Lifecycle Carbon Dioxide Emissions","Prepared for British Glass by Enviros Consulting Ltd",2003,"British Glass",,,"http://people.bath.ac.uk/cj219/"
116,"Granite Dimensional Stone Quarrying and Processing: A Life-Cycle Inventory","University of Tennessee Center for Clean Products",2008,"University of Tennessee Center for Clean Products",,,"http://people.bath.ac.uk/cj219/"
117,"Green building Handbook Vol 2: A guide to building products and their impact on the environment","Tom Woolley, Sam Kimmins",2000,"E & FN Spon, Taylor & Francis Group","419253807",,"http://people.bath.ac.uk/cj219/"
118,"Green Building Handbook: A guide to building products and their impact on the environment","Tom Woolley, Sam Kimmins",1997,"E & FN Spon, Thomson Science & Professional","419226907",,"http://people.bath.ac.uk/cj219/"
119,"Greenhouse Gas Emissions and Costs Over the Life Cycle of Wood and Alternative Flooring Materials","Ann Kristin Petersen and Birger Solberg",2004,"Climatic Change 64, 2004, Pg 143-167",,,"http://people.bath.ac.uk/cj219/"
120,"Handbook of Industrial Energy Analysis","I Boustead, G F Hancock",1979,"Ellis Horwood Limited","853120641",,"http://people.bath.ac.uk/cj219/"
121,"High Density polyethylene LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
122,"High Density polyethylene LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
123,"High Density polyethylene pipe extrusion LCI Data Summary","I Boustead",2005,"Plastic Europe, the former APME",,,"http://people.bath.ac.uk/cj219/"
124,"High Density polyethylene pipe extrusion LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
125,"High Performance High Volume Fly Ash Concrete for Sustainable Development","P Kumar Mehta",2004,"international Workshop on Sustainable Development and Concrete technology, Beijing, China, May 20-21 2004",,,"http://people.bath.ac.uk/cj219/"
126,"How Sustainable is Concrete?","Leslie Struble and Jonathan Godfrey",1999,"University of Illinois, International workshop on sustainable development and concrete technology",,,"http://people.bath.ac.uk/cj219/"
127,"IISF - Stainless steel LCI spreadsheet","IISF - institute of Stainless Steel Forum (ISSF)",2004,"IISF - institute of Stainless Steel Forum (ISSF)",,,"http://people.bath.ac.uk/cj219/"
128,"IISI bar & wire rod BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
129,"IISI bar & wire rod EAF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
130,"IISI coated flat steel BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
131,"IISI electrogalvanised coil BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
132,"IISI engineering steel EAF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
133,"IISI Finished cold rolled coil BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
134,"IISI Hot dipped galvanised coil BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
135,"IISI Hot rolled coil BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
136,"IISI Plate BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
137,"IISI section BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
138,"IISI section EAF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
139,"IISI Steel pipe BF route","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
140,"Integrated Pollution Prevention and Control (IPPC) - Reference Document on Best Available Techniques in the Cement and Lime Manufacturing Industries","European Comission, IPPC",2001,"European Comissions",,,"http://people.bath.ac.uk/cj219/"
141,"Integrated Pollution Prevention and Control; Draft reference document on best available techniques in the ceramic manufacturing industry, draft October 2004","European Commission",2004,"European Commission",,,"http://people.bath.ac.uk/cj219/"
142,"Integrated Pollution Prevention and Control; Draft reference document on best available techniques in the pulp and paper manufacturing industry, December 2001","European Commission",2001,"European Commission",,,"http://people.bath.ac.uk/cj219/"
143,"Kingspan Therma - An Environmental Profile","Kingspan",2006,"Kingspan",,,"http://people.bath.ac.uk/cj219/"
144,"KONE MonoSpace - Environmnetal Product Declaration","VTT, Technical Research Centre of Finland",2009,,,,"http://people.bath.ac.uk/cj219/"
145,"LCA and Embodied Energy; Some Contentious Issues","W R Lawson",1996,"Embodied Energy - The Current State of Play, Deakin University, Nov 1996",,,"http://people.bath.ac.uk/cj219/"
146,"LCA Fact Sheet, Life Cycle Analysis of Clay Brick Housing - Based on a Typical Project Home","The Centre for Sustainable Technology, University of Newcastle, Australia",2003,"The Centre for Sustainable Technology, University of Newcastle, Australia",,,"http://people.bath.ac.uk/cj219/"
147,"LCA of Road - A pilot study for inventory analysis","Hakan Stripple",2001,"IVL Swedish Environmental Research Institute",,,"http://people.bath.ac.uk/cj219/"
148,"Life Cycle Analysis of a Residential Home in Michigan","Steven Blanchard and Peter Reppe",1998,"Centre for Sustainable Systems, university of Michigan",,,"http://people.bath.ac.uk/cj219/"
149,"Life cycle analysis of wind-fuel cell integrated system","F I Kahn, K Hawboldt & M T Iqbal",2005,"Renewable Energy, Vol 30, 2005, Pg 157-177",,,"http://people.bath.ac.uk/cj219/"
150,"Life Cycle Analysis of Wood Products: Cradle to Gate LCI of Residential Wood Building Materials","Maureen E Puettmann and James B Wilson",2005,"Wood and Fibre Science 37, Special CORRIM Issue, 2005, Pg 18-29",,,"http://people.bath.ac.uk/cj219/"
151,"Life cycle assessment environmental profile of cotton and polyester-cotton fabrics","Eija M Kalliala & Pertti Nousiainen",1999,"AUTEX Research Journal Vol 1, No. 1, 1999",,,"http://people.bath.ac.uk/cj219/"
152,"Life Cycle Assessment for Painting Processes: Putting the VOC Issue in Perspective","Ian D Dobson",1995,"Progress in Prganic Coatings 27, 1996, Pg 55-58",,,"http://people.bath.ac.uk/cj219/"
153,"Life Cycle Assessment of 4 Types of Floor Covering","Jose Potting & Korenils Blok",1994,"Dept. science, technology and society, Utrecht university",,,"http://people.bath.ac.uk/cj219/"
154,"Life cycle assessment of a car tyre","A. Kromer, E Kreipe, Diethelm Reichenbach and R. Stark",1999,"Continental AG, Hannove, Germany",,,"http://people.bath.ac.uk/cj219/"
