"state","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","stateName","gridRegion","units","source"
"SD","total",3.8917,3.9137,3.4380,1226.8526,14.8054,19.1691,1233.1059,,"South Dakota","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"TN","total",2.2645,1.0292,5.0975,1357.0956,17.7681,23.3122,1364.6955,,"Tennessee","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"TX","total",0.8577,0.8361,2.4889,1307.2874,19.0171,14.8400,1312.2872,,"Texas","TX",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"UT","total",3.4373,3.5328,1.3239,1935.6232,23.4059,30.6742,1945.6237,,"Utah","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"VA","total",1.8864,1.4333,5.5432,1138.0821,35.8973,19.4293,1144.8590,,"Virginia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"VT","total",0.2289,0.2584,0.0151,3.7543,75.3158,10.0440,8.4495,,"Vermont","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WA","total",0.3042,0.3065,0.1247,259.1902,9.8477,4.3376,260.7417,,"Washington","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WI","total",1.8775,1.8486,4.7329,1591.7214,26.9375,26.6081,1600.5356,,"Wisconsin","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WV","total",3.3444,1.4302,8.7016,1966.9321,22.3934,33.3565,1977.7428,,"West Virginia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WY","total",3.5988,3.4964,3.8151,2238.3284,25.5441,37.825,2250.5905,,"Wyoming","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"US","total",1.7717,1.4161,4.7230,1293.0476,25.066,19.6366,1299.6613,,"United States","US",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AK","non baseload",6.0781,5.8022,1.4220,1381.6741,39.9701,7.9248,1384.9702,,"Alaska","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AL","non baseload",1.9684,1.3479,7.0836,1542.8808,30.7995,22.1688,1550.3999,,"Alabama","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AR","non baseload",1.0695,0.8945,2.0462,1175.9230,42.2114,15.7317,1181.6863,,"Arkansas","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AZ","non baseload",0.7545,0.8026,0.4697,1191.0900,19.6931,9.0421,1194.3066,,"Arizona","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CA","non baseload",0.3587,0.3330,0.1711,1045.9074,40.3147,4.8599,1048.2606,,"California","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CO","non baseload",1.7092,1.7538,1.5543,1528.3184,22.9290,15.9596,1533.7474,,"Colorado","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CT","non baseload",1.2160,1.2979,2.3875,1396.1370,78.8207,17.5305,1403.2267,,"Connecticut","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"DC","non baseload",4.2449,3.8698,9.9445,2781.7504,119.5481,23.9781,2791.6941,,"Washington DC","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"DE","non baseload",2.2676,1.9341,6.6154,1687.0533,24.5506,22.1148,1694.4245,,"Delaware","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"FL","non baseload",1.7074,1.7143,2.9994,1317.1467,43.3780,12.5093,1321.9355,,"Florida","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"GA","non baseload",1.9261,1.5013,9.0385,1490.6530,25.6166,19.6743,1497.2900,,"Georgia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HI","non baseload",5.0426,5.1363,4.5662,1635.5266,111.4725,19.4033,1643.8825,,"Hawaii","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IA","non baseload",2.7462,2.7243,6.4866,2052.5236,25.5317,32.5351,2063.1456,,"Iowa","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ID","non baseload",0.6126,0.7455,1.0326,742.8397,55.7162,10.7928,747.3555,,"Idaho","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IL","non baseload",2.6731,1.6571,5.3861,2007.3041,24.6568,30.9803,2017.4258,,"Illinois","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IN","non baseload",3.2287,2.2957,12.6703,2064.8831,24.7325,32.6675,2075.5294,,"Indiana","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"KS","non baseload",4.1765,4.0056,5.7256,2153.5022,28.3293,29.7498,2163.3196,,"Kansas","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"KY","non baseload",3.6463,2.1238,8.8557,2121.2692,25.5936,35.2279,2132.7273,,"Kentucky","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"LA","non baseload",1.7741,1.7471,1.6910,1251.0549,25.5663,8.8078,1254.3222,,"Louisiana","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MA","non baseload",0.8082,0.7331,3.0359,1294.2655,45.9202,13.2808,1299.3469,,"Massachusetts","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MD","non baseload",3.5070,2.7319,18.4028,1979.7727,43.8981,32.5977,1990.7998,,"Maryland","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ME","non baseload",0.8086,0.7201,1.8040,850.6114,113.8795,16.4546,858.1038,,"Maine","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MI","non baseload",2.3312,1.8505,6.8033,1831.0269,32.4394,28.0393,1840.4003,,"Michigan","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MN","non baseload",4.9104,5.1611,5.1383,1870.3351,105.6509,35.5054,1883.5604,,"Minnesota","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MO","non baseload",2.7106,2.1181,6.7418,1887.8048,23.3999,28.8283,1897.2330,,"Missouri","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MS","non baseload",2.1901,2.1948,2.7732,1372.3873,24.5763,13.4305,1377.0669,,"Mississippi","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MT","non baseload",9.5421,4.9215,2.2532,2551.4211,28.5433,33.7461,2562.4818,,"Montana","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NC","non baseload",2.0016,1.8486,8.8994,1825.5479,29.0525,28.3627,1834.9504,,"North Carolina","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ND","non baseload",7.4184,6.8224,13.0723,2338.5258,29.0962,37.9070,2350.8880,,"North Dakota","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NE","non baseload",3.0083,2.5278,5.5735,1991.7442,25.4155,29.0205,2001.2743,,"Nebraska","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NH","non baseload",0.5405,0.5040,2.8700,1102.1346,51.4553,10.4422,1106.4522,,"New Hampshire","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NJ","non baseload",1.2261,1.0286,3.1493,1371.1917,27.0473,13.7690,1376.0281,,"New Jersey","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NM","non baseload",2.8407,2.6910,0.9564,1551.8900,22.9089,16.8348,1557.5899,,"New Mexico","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NV","non baseload",1.2323,1.2271,0.2382,1127.5572,20.1957,5.8337,1129.7898,,"Nevada","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NY","non baseload",1.2886,1.1852,3.1486,1358.6838,37.2631,10.6264,1362.7605,,"New York","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OH","non baseload",3.4858,2.2715,16.2439,1994.0876,24.3974,32.1889,2004.5785,,"Ohio","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OK","non baseload",1.9808,1.8990,1.6478,1326.6246,22.6175,10.2185,1330.2673,,"Oklahoma","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OR","non baseload",0.4446,0.5466,0.2168,798.3140,52.2599,7.3110,801.6779,,"Oregon","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PA","non baseload",2.2857,1.8764,10.2760,1666.0190,29.2241,22.2422,1673.5278,,"Pennsylvania","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RI","non baseload",0.2513,0.2276,0.0391,950.2710,18.9364,1.9333,951.2680,,"Rhode Island","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SC","non baseload",1.9976,1.4663,8.6642,1625.5874,31.3133,23.1790,1633.4305,,"South Carolina","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SD","non baseload",6.0670,3.5412,5.1539,2155.4847,28.3914,29.0584,2165.0890,,"South Dakota","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"TN","non baseload",3.4857,2.3578,9.2238,2127.1816,25.9304,35.8464,2138.8385,,"Tennessee","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"TX","non baseload",0.6453,0.6371,0.6716,1137.9852,20.6754,5.9681,1140.2695,,"Texas","TX",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"UT","non baseload",2.5208,3.2018,0.9996,1418.1581,22.2388,13.3109,1422.7515,,"Utah","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"VA","non baseload",2.2738,1.7221,7.4509,1556.9924,49.9409,22.1760,1564.9157,,"Virginia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"VT","non baseload",2.8024,2.7320,0.1458,153.5079,1047.6653,139.9991,218.9086,,"Vermont","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WA","non baseload",1.5557,1.4794,0.5795,1460.7065,54.1674,22.5414,1468.8318,,"Washington","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WI","non baseload",2.4333,2.4698,5.0624,1783.6835,38.1473,27.0266,1792.8628,,"Wisconsin","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WV","non baseload",3.6572,2.2327,11.3756,2000.1363,23.0570,33.5464,2011.0199,,"West Virginia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WY","non baseload",3.2449,3.0213,2.3776,2044.6107,24.4203,32.6915,2055.2579,,"Wyoming","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"US","non baseload",1.9542,1.6205,5.0676,1520.2135,32.2275,18.4110,1526.5977,,"United States","US",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"


