type,subtype,size,massCO2PerMassPerDistance,massCH4PerMassPerDistance,massN2OPerMassPerDistance,massDirectCO2ePerMassPerDistance,massIndirectCO2ePerMassPerDistance,massTotalCO2ePerMassPerDistance,averageLoading,averageMassGoods,units,source
ship,products tanker ,over 60 000 dwt,0.0057,0,0.00004,0.00574,0.00097,0.00671,55,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,products tanker ,20 000-59 999 dwt,0.0103,0,0.00008,0.01038,0.00175,0.01213,55,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,products tanker ,10 000-19 999 dwt,0.0187,0.00001,0.00014,0.01885,0.00317,0.02202,50,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,products tanker ,5000-9999 dwt,0.0292,0.00001,0.00022,0.02943,0.00495,0.03438,45,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,products tanker ,0-4999 dwt,0.045,0.00001,0.00035,0.04536,0.00764,0.053,45,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,products tanker ,average,0.00891,0,0.00007,0.00898,0.00151,0.01049,54.19905299,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,chemical tanker ,over 20 000 dwt ,0.0084,0,0.00006,0.00846,0.00143,0.00989,64,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,chemical tanker ,"10,000-19,999 dwt ",0.0108,0,0.00008,0.01088,0.00183,0.01271,64,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,chemical tanker ,5000-9999 dwt ,0.0151,0,0.00012,0.01522,0.00256,0.01778,64,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,chemical tanker ,0-4999 dwt ,0.0222,0.00001,0.00017,0.02238,0.00377,0.02615,64,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,chemical tanker ,average,0.01018,0,0.00008,0.01026,0.00173,0.01199,64,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,lpg tanker,over 50 000 m3 ,0.009,0,0.00007,0.00907,0.00153,0.0106,48,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,lpg tanker,0-49 999 m3 ,0.0435,0.00001,0.00033,0.04384,0.00738,0.05122,48,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,lng tanker,over 200 000 m3 ,0.0093,0,0.00007,0.00937,0.00158,0.01095,48,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,lng tanker,0-199 999 m3 ,0.0145,0,0.00011,0.01461,0.00246,0.01707,48,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,lng tanker,average,0.01139,0,0.00009,0.01148,0.00193,0.01341,48,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,over 200 000 dwt ,0.0025,0,0.00002,0.00252,0.00042,0.00294,50,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,100 000-199 999 dwt,0.003,0,0.00002,0.00302,0.00051,0.00353,50,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,60 000-99 999 dwt ,0.0041,0,0.00003,0.00413,0.0007,0.00483,55,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,35 000-59 999 dwt ,0.0057,0,0.00004,0.00574,0.00097,0.00671,55,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,10 000-34 999 dwt ,0.0079,0,0.00006,0.00796,0.00134,0.0093,55,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,0-9999 dwt ,0.0292,0.00001,0.00022,0.02943,0.00495,0.03438,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,bulk carrier,average,0.00349,0,0.00003,0.00352,0.00059,0.00411,51.43282195,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,over 10 000 dwt ,0.0119,0,0.00009,0.01199,0.00202,0.01401,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,5000-9999 dwt ,0.0158,0.00001,0.00012,0.01593,0.00268,0.01861,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,0-4999 dwt ,0.0139,0,0.00011,0.01401,0.00236,0.01637,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,over 10 000 dwt over 100 teu ,0.011,0,0.00008,0.01108,0.00187,0.01295,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,5000-9999 dwt over 100 teu ,0.0175,0.00001,0.00013,0.01764,0.00297,0.02061,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,0-4999 dwt over 100 teu ,0.0198,0.00001,0.00015,0.01996,0.00336,0.02332,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,general cargo,average,0.01305,0,0.0001,0.01315,0.00221,0.01536,60,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,refrigerated cargo,all dwt,0.0129,0,0.0001,0.013,0.00219,0.01519,50,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,over 8000 teu ,0.0125,0,0.0001,0.0126,0.00212,0.01472,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,5000-7999 teu ,0.0166,0.00001,0.00013,0.01674,0.00282,0.01956,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,3000-4999 teu ,0.0166,0.00001,0.00013,0.01674,0.00282,0.01956,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,2000-2999 teu ,0.02,0.00001,0.00015,0.02016,0.00339,0.02355,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,1000-1999 teu ,0.0321,0.00001,0.00025,0.03236,0.00545,0.03781,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,0-999 teu ,0.0363,0.00001,0.00028,0.03659,0.00616,0.04275,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,container,average,0.01592,0.00001,0.00012,0.01605,0.0027,0.01875,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,vehicle transport,over 4000 ceu ,0.032,0.00001,0.00025,0.03226,0.00543,0.03769,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,vehicle transport,0-3999 ceu ,0.0576,0.00002,0.00044,0.05806,0.00977,0.06783,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,vehicle transport,average,0.03805,0.00001,0.00029,0.03835,0.00646,0.04481,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,ro-ro ferry,over 2000 lm ,0.0495,0.00002,0.00038,0.0499,0.0084,0.0583,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,ro-ro ferry,0-1999 lm ,0.0603,0.00002,0.00046,0.06078,0.01023,0.07101,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,ro-ro ferry,average,0.05095,0.00002,0.00039,0.05136,0.00865,0.06001,70,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
ship,large ropax ferry,,0.38434,0.00012,0.00295,0.38741,0.06522,0.45263,,,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting

