"type","subtype","replacement","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Standard ready mix","GEN 0 (6/8 MPa)","25% blast furnace slag",0.4819088750,0.0560643654,0.0600708119,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 0 (6/8 MPa)","30% fly ash",0.4724098250,0.0572870209,0.0613721112,"Cradle to gate","Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 0 (6/8 MPa)","50% blast furnace slag",0.4149458750,0.0420106699,0.0450064162,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 0 (6/8 MPa)","none",0.5528108750,0.0709735309,0.0760562239,"Cradle to gate","Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 1 (8/10 MPa)","15% fly ash",0.6484073750,0.0875156139,0.0936347832,"Cradle to gate","Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 1 (8/10 MPa)","25% blast furnace slag",0.5971246250,0.0747260344,0.0799509449,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 1 (8/10 MPa)","30% fly ash",0.5858075750,0.0768547609,0.0822111648,"Cradle to gate","Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 1 (8/10 MPa)","50% blast furnace slag",0.4976648750,0.0541040059,0.0578747926,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 1 (8/10 MPa)","none",0.7044623750,0.0970590029,0.1038673643,"Cradle to gate","Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 2 (12/15 MPa)","15% fly ash",0.7081817000,0.0978108469,0.1046145031,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 2 (12/15 MPa)","25% blast furnace slag",0.6168575000,0.0821631189,0.0878783297,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 2 (12/15 MPa)","30% fly ash",0.6425064500,0.0866386309,0.0926356945,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 2 (12/15 MPa)","50% blast furnace slag",0.5459176250,0.0611584519,0.0653917959,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 2 (12/15 MPa)","none",0.7586236250,0.1063752429,0.1138108047,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 3 (16/20 MPa)","15% fly ash",0.7495639250,0.1049383159,0.1122032088,"Cradle to gate","Possible uses: garage floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 3 (16/20 MPa)","25% blast furnace slag",0.6901835000,0.0897989209,0.0960157115,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 3 (16/20 MPa)","30% fly ash",0.6803057000,0.0931612109,0.0995779664,"Cradle to gate","Possible uses: garage floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 3 (16/20 MPa)","50% blast furnace slag",0.5734906250,0.0651895639,0.0696796890,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 3 (16/20 MPa)","none",0.8073687500,0.1147598589,0.1227451113,"Cradle to gate","Possible uses: garage floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV1","15% fly ash",0.8939809364,0.1292015814,0.1376740634,"Cradle to gate","Possible uses: domestic parking and outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV1","25% blast furnace slag",0.8247290744,0.1110845388,0.1183689833,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV1","30% fly ash",0.8119600484,0.1152251166,0.1227053206,"Cradle to gate","Possible uses: domestic parking and outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV1","50% blast furnace slag",0.6967996868,0.0827993405,0.0881745224,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV1","none",0.9487194620,0.1390000000,0.1482165688,"Cradle to gate","Possible uses: domestic parking and outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV2","15% fly ash",0.9735174668,0.1427561119,0.1520139507,"Cradle to gate","Possible uses: heavy duty outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV2","25% blast furnace slag",0.9103531172,0.1248187010,0.1329132855,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV2","30% fly ash",0.8891100599,0.1283747429,0.1366090387,"Cradle to gate","Possible uses: heavy duty outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV2","50% blast furnace slag",0.7742044607,0.0939930041,0.1000219641,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","PAV2","none",1.0311903050,0.1525704613,0.1625848049,"Cradle to gate","Possible uses: heavy duty outdoor paving.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 20/25 (20/25 MPa)","15% fly ash",0.8052965936,0.1140635697,0.1219053607,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 20/25 (20/25 MPa)","25% blast furnace slag",0.7392489566,0.0973580526,0.1040513509,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 20/25 (20/25 MPa)","30% fly ash",0.7273211495,0.1007725870,0.1076621877,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 20/25 (20/25 MPa)","50% blast furnace slag",0.6195615629,0.0716145650,0.0765106956,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 20/25 (20/25 MPa)","none",0.8609058503,0.1235292752,0.1320689530,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 25/30 (25/30 MPa)","15% fly ash",0.8480790119,0.1212754893,0.1295436961,"Cradle to gate","Possible uses: reinforced foundations.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 25/30 (25/30 MPa)","25% blast furnace slag",0.7804557749,0.1038982716,0.1109817507,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 25/30 (25/30 MPa)","30% fly ash",0.7666214615,0.1073860832,0.1146626330,"Cradle to gate","Possible uses: reinforced foundations.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 25/30 (25/30 MPa)","50% blast furnace slag",0.6518980562,0.0762295725,0.0813949372,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 25/30 (25/30 MPa)","none",0.9055190249,0.1310594441,0.1400562654,"Cradle to gate","Possible uses: reinforced foundations.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 28/35 (28/35 MPa)","15% fly ash",0.8950944614,0.1292609694,0.1380112039,"Cradle to gate","Possible uses: reinforced foundations, ground floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 28/35 (28/35 MPa)","25% blast furnace slag",0.8257668494,0.1111398868,0.1186634267,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 28/35 (28/35 MPa)","30% fly ash",0.8169808796,0.1159446422,0.1237413104,"Cradle to gate","Possible uses: reinforced foundations, ground floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 28/35 (28/35 MPa)","50% blast furnace slag",0.6943543556,0.0823477679,0.0878852228,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 28/35 (28/35 MPa)","none",0.9497420870,0.1385688070,0.1480193440,"Cradle to gate","Possible uses: reinforced foundations, ground floors.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 32/40 (32/40 MPa)","15% fly ash",0.9747597668,0.1428223679,0.1524103695,"Cradle to gate","Possible uses: structural purposes, in situ floors, walls, superstructure.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 32/40 (32/40 MPa)","25% blast furnace slag",0.9115348172,0.1248817250,0.1332653290,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 32/40 (32/40 MPa)","30% fly ash",0.8866154912,0.1277899513,0.1362969767,"Cradle to gate","Possible uses: structural purposes, in situ floors, walls, superstructure.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 32/40 (32/40 MPa)","50% blast furnace slag",0.7754240357,0.0940580481,0.1003195279,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 32/40 (32/40 MPa)","none",1.0323265550,0.1526310613,0.1629726106,"Cradle to gate","Possible uses: structural purposes, in situ floors, walls, superstructure.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 40/50 (40/50 MPa)","15% fly ash",1.0964689280,0.1635562959,0.1743891517,"Cradle to gate","Possible uses: high strength applications, precasting.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 40/50 (40/50 MPa)","25% blast furnace slag",1.0288807784,0.1436852400,0.1532019723,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 40/50 (40/50 MPa)","30% fly ash",0.9909386336,0.1455510469,0.1550932023,"Cradle to gate","Possible uses: high strength applications, precasting.",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 40/50 (40/50 MPa)","50% blast furnace slag",0.8706912656,0.1078101507,0.1148780573,"Cradle to gate","See fly ash mixtures",,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","RC 40/50 (40/50 MPa)","none",1.1697779600,0.1760580517,0.1878495397,"Cradle to gate","Possible uses: high strength applications, precasting.",,"http://people.bath.ac.uk/cj219/"
"UK average mix","16/20 MPa",,0.700,0.093,0.100,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
"UK average mix","20/25 MPa",,0.740,0.100,0.107,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
"UK average mix","25/30 MPa",,0.780,0.106,0.113,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
"UK average mix","28/35 MPa",,0.820,0.112,0.120,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
"UK average mix","32/40 MPa",,0.880,0.123,0.132,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
"UK average mix","40/50 MPa",,1.000,0.141,0.151,"Cradle to gate","Using UK weighted average cement (more representative of 'typical' concrete mixtures).",,"http://people.bath.ac.uk/cj219/"
