"type","fuel","emissionStandard","massCH4PerDistance","massN2OPerDistance","distancePerVolume","massCO2PerDistance","massBiogenicCO2PerDistance","massCH4PerVolume","massN2OPerVolume","units","source"
"heavy duty vehicle (rigid)","diesel","1960-present",0.0051,0.0048,8.8,1.15340909090909,,0.04488,0.04224,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","lng",,1.966,0.175,8.8,0.506818181818182,,17.3008,1.54,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","lpg",,0.066,0.175,8.8,0.657954545454545,,0.5808,1.54,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","ethanol",,0.197,0.175,8.8,,0.631818181818182,1.7336,1.54,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1985-1986",0.409,0.0515,5.9,1.49322033898305,,2.4131,0.30385,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1987,0.3675,0.0849,5.9,1.49322033898305,,2.16825,0.50091,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1988-1989",0.3492,0.0933,5.9,1.49322033898305,,2.06028,0.55047,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1990-1995",0.3246,0.1142,5.9,1.49322033898305,,1.91514,0.67378,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1996,0.1278,0.168,5.9,1.49322033898305,,0.75402,0.9912,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1997,0.0924,0.1726,5.9,1.49322033898305,,0.54516,1.01834,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1998,0.0641,0.1693,5.9,1.49322033898305,,0.37819,0.99887,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1999,0.0578,0.1435,5.9,1.49322033898305,,0.34102,0.84665,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2000,0.0493,0.1092,5.9,1.49322033898305,,0.29087,0.64428,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2001,0.0528,0.1235,5.9,1.49322033898305,,0.31152,0.72865,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2002,0.0546,0.1307,5.9,1.49322033898305,,0.32214,0.77113,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2003,0.0533,0.124,5.9,1.49322033898305,,0.31447,0.7316,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2004,0.0341,0.0285,5.9,1.49322033898305,,0.20119,0.16815,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","2005-present",0.0326,0.0177,5.9,1.49322033898305,,0.19234,0.10443,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","diesel","1960-present",0.0051,0.0048,5.9,1.72033898305085,,0.03009,0.02832,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","lng",,1.966,0.175,5.9,0.75593220338983,,11.5994,1.0325,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","lpg",,0.066,0.175,5.9,0.98135593220339,,0.3894,1.0325,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","ethanol",,0.197,0.175,5.9,,0.942372881355932,1.1623,1.0325,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","non-catalyst control",0.0672,0.0069,50,0.203,,3.36,0.345,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","uncontrolled",0.0899,0.0087,50,0.203,,4.495,0.435,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","control unknown",0.07,0.007,50,0.203,,3.5,0.35,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
