"plant","prodProcess","fuel","defCarbonContent","defFuelQuantity","units","source"
"Modern Plants: Europe","Conventional Reforming","Other biogas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Municipal wastes (biomass fraction)",27.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Crude oil",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Orimulsion",21.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Natural gas liquids",17.5000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Motor gasoline",18.9000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Aviation gasoline",19.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Jet Gasoline",19.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Jet Kerosene",19.5000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other Kerosene",19.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Shale oil",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Gas/diesel oil",20.2000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Residual fuel oil",21.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Liquified Petroleum Gases (LPG)",17.2000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Ethane",16.8000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Naptha",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Bitumen",22.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Lubricants",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Petroleum coke",26.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Refinery feedstocks",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Refinery gas",15.7000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Paraffin waxes",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","White spirit and SBP",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other petroleum products",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Anthracite",26.8000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Coking coal",25.8000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other bituminous coal",25.8000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Sub-bituminous coal",26.2000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Lignite",27.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Oil shale and tar sands",29.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Brown coal briquettes",26.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Patent fuel",26.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Coke oven coke and Lignite coke",29.2000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Gas coke",29.2000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Coal tar",22.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Gas works gas",12.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Coke oven gas ",12.1000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Blast furnace gas",70.8000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Oxygen steel furnace gas",49.6000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Natural gas ",15.3000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Municipal wastes (non-biomass fraction)",25.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Waste oils",20.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Peat",28.9000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Wood/ wood waste",30.5000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Sulphite lyes (black liquor)",26.0000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other primary solid biomass",27.3000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Charcoal",30.5000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Biogasoline",19.3000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Biodiesels",19.3000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other liquid biofuels",21.7000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Landfill gas",14.9000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Sludge gas",14.9000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Other biogas",14.9000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Excess Air Reforming","Municipal wastes (biomass fraction)",27.3000,0.0297,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Crude oil",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Orimulsion",21.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Natural gas liquids",17.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Motor gasoline",18.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Aviation gasoline",19.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Jet Gasoline",19.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Jet Kerosene",19.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other Kerosene",19.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Shale oil",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Gas/diesel oil",20.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Residual fuel oil",21.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Liquified Petroleum Gases (LPG)",17.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Ethane",16.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Naptha",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Bitumen",22.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Lubricants",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Petroleum coke",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Refinery feedstocks",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Refinery gas",15.7000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Paraffin waxes",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","White spirit and SBP",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other petroleum products",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Anthracite",26.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Coking coal",25.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other bituminous coal",25.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Sub-bituminous coal",26.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Lignite",27.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Oil shale and tar sands",29.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Brown coal briquettes",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Patent fuel",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Coke oven coke and Lignite coke",29.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Gas coke",29.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Coal tar",22.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Gas works gas",12.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Coke oven gas ",12.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Blast furnace gas",70.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Oxygen steel furnace gas",49.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Natural gas ",15.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Municipal wastes (non-biomass fraction)",25.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Waste oils",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Peat",28.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Wood/ wood waste",30.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Sulphite lyes (black liquor)",26.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other primary solid biomass",27.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Charcoal",30.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Biogasoline",19.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Biodiesels",19.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other liquid biofuels",21.7000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Landfill gas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Sludge gas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Other biogas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Autothermal Reforming","Municipal wastes (biomass fraction)",27.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Crude oil",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Orimulsion",21.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Natural gas liquids",17.5000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Motor gasoline",18.9000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Aviation gasoline",19.1000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Jet Gasoline",19.1000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Jet Kerosene",19.5000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Other Kerosene",19.6000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Shale oil",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Gas/diesel oil",20.2000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Residual fuel oil",21.1000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Liquified Petroleum Gases (LPG)",17.2000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Ethane",16.8000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Naptha",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Bitumen",22.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Lubricants",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Petroleum coke",26.6000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Refinery feedstocks",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Refinery gas",15.7000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Paraffin waxes",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","White spirit and SBP",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Other petroleum products",20.0000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Anthracite",26.8000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Partial Oxidation","Coking coal",25.8000,0.0360,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
