state,type,fuel,numberOfBedrooms,kWhPerYearSpace,kWhPerYearWater,kWhPerYearAirCon,units,source
oregon,detached,electricity,0 or 1,3091,2443,432,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,electricity,0 or 1,3091,2443,432,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,electricity,2,3898.5,2643,811,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,electricity,2,3898.5,2643,811,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,electricity,3,4706,3496,1421,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,electricity,3,4706,3496,1421,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,electricity,4 or more,6612,4090,1846,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,electricity,4 or more,6612,4090,1846,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,attached,natural gas,2,5606,4552,801,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,attached,natural gas,2,5606,4552,801,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,attached,natural gas,3,6210,5934,1590,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,attached,natural gas,3,6210,5934,1590,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,attached,natural gas,4 or more,10399,6645,1724,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,attached,natural gas,4 or more,10399,6645,1724,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,attached,electricity,3,2447,2357,718,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,attached,electricity,3,2447,2357,718,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,natural gas,0 or 1,2814,2644,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,natural gas,0 or 1,2814,2644,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,natural gas,2,4874,3953,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,natural gas,2,4874,3953,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,natural gas,3,6215,4485,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,natural gas,3,6215,4485,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,electricity,0 or 1,1549,1062,475,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,electricity,0 or 1,1549,1062,475,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,electricity,2,2302,1693,654,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,electricity,2,2302,1693,654,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,apartment,electricity,3,3958,2125,876,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,apartment,electricity,3,3958,2125,876,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
