"aircraft","massFuelTakeOff","massFuelClimbOut","massFuelApproach","massFuelTaxi","massFuelCruise232km","massFuelCruise463km","massFuelCruise926km","massFuelCruise1389km","massFuelCruise1852km","massFuelCruise2778km","massFuelCruise3704km","massFuelCruise4630km","massFuelCruise5556km","massFuelCruise6482km","massFuelCruise7408km","massFuelCruise8334km","massFuelCruise9260km","massFuelCruise10186km","massFuelCruise11112km","massFuelCruise12038km","IATACode","ICAOCode","representativeAircraft","units","source"
"Boeing 747-400 [744]",411.9,1043.4,624,1322.8,2928.71,5656.1,10002.4,14348.7,18695,27519.41,36864.51,46078.06,56174.72,66486.12,77387.08,88584.34,100209.24,112150.86,124768.65,137852.09,744,"B744","Boeing 747-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747 [747]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,747,"B747","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 757 [757]",144.3,370.7,226.3,511.6,1169.89,2157.17,3817.35,5471.43,7137.71,10592.75,14154.02,17772.89,,,,,,,,,757,"B757","Boeing 757",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 767-200 [762]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,762,"B762","Boeing 767-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 767-300 [763]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,763,"B763","Boeing 767-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 767 [767]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,767,"B767","Boeing 767-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 777-200 [772]",328.4,818.4,480,936,2256.74,4472.3,7567.52,10663.61,13800.96,20013.57,26662.84,33463.83,40580.41,47731.79,55341.45,63200.66,71092.31,79504.56,88130.39,,772,"B772","Boeing 777",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 777-300 [773]",328.4,818.4,480,936,2256.74,4472.3,7567.52,10663.61,13800.96,20013.57,26662.84,33463.83,40580.41,47731.79,55341.45,63200.66,71092.31,79504.56,88130.39,,773,"B773","Boeing 777",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 777 [777]",328.4,818.4,480,936,2256.74,4472.3,7567.52,10663.61,13800.96,20013.57,26662.84,33463.83,40580.41,47731.79,55341.45,63200.66,71092.31,79504.56,88130.39,,777,"B777","Boeing 777",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"British Aerospace 146 Freighter [14F]",59.8,155.2,99.1,255.4,675.59,1291.02,2555.04,3805.03,5083.06,7700.6,,,,,,,,,,,"14F","BA46","British Aerospace 146-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A318/319/320/321 [32S]",89.9,232.5,145.4,334.6,842.06,1694.96,2858.27,3902.67,5224.9,7529.68,10063.56,12638.93,,,,,,,,,"32S","A320","Airbus A320-100/200",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 707-123B [70F]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"70F","B701","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727-208 Advanced [72A]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"72A","B722","Boeing 727",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727 Freighter (100/200) [72F]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"72F","B721","Boeing 727",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727 Combi [72M]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"72M","B72M","Boeing 727",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727-200 Advanced [72S]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"72S","B722","Boeing 727",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
