"region","livestockType","managementType","managementSubtype","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"middle east","camel","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","anaerobic digester","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","anaerobic digester","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","deep bedding","active mixing",0.38,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","deep bedding","active mixing",0.38,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","deep bedding","active mixing",0.46,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","deep bedding","active mixing",0.46,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","deep bedding","active mixing",0.46,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","deep bedding","active mixing",0.38,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","deep bedding","active mixing",0.46,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","deep bedding","active mixing",0.38,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","deep bedding","no mixing",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","deep bedding","no mixing",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","deep bedding","no mixing",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","deep bedding","no mixing",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","deep bedding","no mixing",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","deep bedding","no mixing",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","deep bedding","no mixing",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","deep bedding","no mixing",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","composting","in vessel",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","composting","in vessel",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","composting","in vessel",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","composting","in vessel",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","composting","intensive windrow",0.38,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","composting","intensive windrow",0.38,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","composting","intensive windrow",0.38,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","composting","intensive windrow",0.38,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","composting","passive windrow",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","composting","passive windrow",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","composting","passive windrow",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","composting","passive windrow",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","composting","static pile",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","composting","static pile",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","composting","static pile",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","composting","static pile",0.38,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","daily spread","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","daily spread","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","daily spread","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","daily spread","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","dry lot","-",0.38,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","dry lot","-",0.38,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","dry lot","-",0.38,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","dry lot","-",0.38,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","liquid/slurry","with natural crust cover",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","liquid/slurry","with natural crust cover",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","liquid/slurry","with natural crust cover",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","liquid/slurry","with natural crust cover",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","liquid/slurry","without natural crust cover",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","liquid/slurry","without natural crust cover",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","liquid/slurry","without natural crust cover",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","liquid/slurry","without natural crust cover",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","pasture/range/paddock","-",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","pasture/range/paddock","-",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","pasture/range/paddock","-",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","pasture/range/paddock","-",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","pit storage below animal confinements","-",0.38,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","pit storage below animal confinements","-",0.38,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","pit storage below animal confinements","-",0.38,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","pit storage below animal confinements","-",0.38,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","solid storage","-",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","solid storage","-",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","solid storage","-",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","solid storage","-",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","solid storage","-",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","solid storage","-",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","solid storage","-",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","solid storage","-",0.38,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","uncovered anaerobic lagoon","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","uncovered anaerobic lagoon","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","uncovered anaerobic lagoon","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","uncovered anaerobic lagoon","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","aerobic treatment","forced aeration",1.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","aerobic treatment","forced aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","aerobic treatment","forced aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","aerobic treatment","forced aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","aerobic treatment","forced aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","aerobic treatment","forced aeration",0.45,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","aerobic treatment","forced aeration",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","aerobic treatment","forced aeration",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","aerobic treatment","natural aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","aerobic treatment","natural aeration",1.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","aerobic treatment","natural aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","aerobic treatment","natural aeration",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","aerobic treatment","natural aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","aerobic treatment","natural aeration",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","aerobic treatment","natural aeration",0.45,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","aerobic treatment","natural aeration",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","anaerobic digester","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","anaerobic digester","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","anaerobic digester","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","anaerobic digester","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","anaerobic digester","-",0.45,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","anaerobic digester","-",1.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","anaerobic digester","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","anaerobic digester","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","deep bedding","active mixing",1.37,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","deep bedding","active mixing",1.28,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","deep bedding","active mixing",0.45,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","deep bedding","active mixing",1.37,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","deep bedding","active mixing",1.28,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","deep bedding","active mixing",1.37,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","deep bedding","active mixing",1.42,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","deep bedding","active mixing",1.37,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","deep bedding","no mixing",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","deep bedding","no mixing",0.45,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","deep bedding","no mixing",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","deep bedding","no mixing",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","deep bedding","no mixing",1.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","deep bedding","no mixing",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","deep bedding","no mixing",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","deep bedding","no mixing",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","composting","in vessel",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","composting","in vessel",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","composting","in vessel",1.28,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","composting","in vessel",0.45,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","composting","in vessel",1.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","composting","in vessel",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","composting","in vessel",1.28,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","composting","in vessel",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","composting","intensive windrow",0.45,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","composting","intensive windrow",1.37,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","composting","intensive windrow",1.37,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","composting","intensive windrow",1.37,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","composting","intensive windrow",1.28,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","composting","intensive windrow",1.28,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","composting","intensive windrow",1.37,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","composting","intensive windrow",1.42,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","composting","passive windrow",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","composting","passive windrow",0.45,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","composting","passive windrow",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","composting","passive windrow",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","composting","passive windrow",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","composting","passive windrow",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","composting","passive windrow",1.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","composting","passive windrow",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
