"type","subtype","subsubtype","embodiedEnergyPerMass","massEmbodiedCO2PerMass","massEmbodiedCO2PerMassSteelPerVolume","boundary","units","source"
"alternative concrete mixes","RC 40","50% fly ash",0.77,0.096,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 40","25% ground granulated blast furnace slag",1.03,0.135,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 40","50% ground granulated blast furnace slag",0.88,0.101,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 50","100% portland cement",1.41,0.212,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 50","25% fly ash",1.15,0.165,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 50","50% fly ash",0.88,0.117,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 50","25% ground granulated blast furnace slag",1.22,0.168,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 50","50% ground granulated blast furnace slag",1.03,0.124,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 1","100% portland cement",1.04,0.145,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 1","25% fly ash",0.87,0.114,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 1","50% fly ash",0.7,0.083,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 1","25% ground granulated blast furnace slag",0.91,0.116,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 1","50% ground granulated blast furnace slag",0.79,0.088,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 2","100% portland cement",1.08,0.153,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 2","25% fly ash",0.9,0.12,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 2","50% fly ash",0.72,0.087,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 2","25% ground granulated blast furnace slag",0.95,0.122,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","PAV 2","50% ground granulated blast furnace slag",0.82,0.092,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
