"fuel","context","density","LHV","EFLHVNRGCO2","EFLHVNRGCH4","EFLHVNRGN2O","HHVConversion","units","source"
"Coal tar","Forestry","-1.0","28.000",80700.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Agriculture","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Construction","0.7","48.000",56100.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Residential","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Fisheries","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Manufacturing","-1.0","44.200",64200.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Construction","-1.0","44.200",64200.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Forestry","-1.0","26.700",98300.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Energy","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Institutional","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Commercial","-1.0","15.600",112000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Residential","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Commercial","800.0","43.800",71900.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Agriculture","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Fisheries","-1.0","11.900",101000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Energy","-1.0","28.200",107000.00,1.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Fisheries","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Construction","540.0","47.300",63100.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Energy","-1.0","40.200",73300.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Residential","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Manufacturing","800.0","43.800",71900.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Agriculture","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Fisheries","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Residential","-1.0","15.600",112000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Forestry","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Manufacturing","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Energy","-1.0","27.500",77000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Pulping liquors","Manufacturing","-1.0","-1.000",0.00,2.50,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Boilers","-1.0","40.400",77400.00,3.00,0.30,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Pulverised dry bottom, wall fired","-1.0","25.800",94600.00,0.70,0.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Forestry","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Institutional","-1.0","9.760",106000.00,10.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Commercial","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Forestry","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Fluidised circulating bed combustor","-1.0","18.900",96100.00,1.00,61.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Construction","-1.0","11.600",100000.00,20.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Agriculture","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Energy","-1.0","25.800",94600.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Institutional","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Forestry","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Energy","-1.0","44.200",64200.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Agriculture","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Forestry","-1.0","11.900",101000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Calciners","940.0","40.400",77400.00,2.70,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Fisheries","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Forestry","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Manufacturing","790.0","44.100",71500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Energy","710.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Energy","790.0","44.100",71500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Agriculture","-1.0","26.700",98300.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Construction","-1.0","28.200",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Boilers","0.7","48.000",56100.00,1.00,1.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Commercial","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Forestry","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Residential","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Fisheries","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Forestry","-1.0","8.900",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Energy","-1.0","11.600",100000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Institutional","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Commercial","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Institutional","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Construction","-1.0","8.900",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Institutional","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Pulverised dry bottom, wall fired","-1.0","18.900",96100.00,0.70,0.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Large stationary diesel oil engines","-1.0","43.000",74100.00,4.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Agriculture","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Residential","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Construction","0.9","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Forestry","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Residential","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Fisheries","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Construction","740.0","44.300",69300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Manufacturing","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Underfeed stoker boilers","-1.0","18.900",96100.00,14.00,0.70,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Fisheries","-1.0","15.600",112000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Fisheries","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Fisheries","770.0","44.500",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Commercial","-1.0","11.900",101000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Commercial","-1.0","28.000",80700.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Manufacturing","-1.0","9.760",106000.00,2.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Commercial","-1.0","27.400",79600.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Agriculture","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Agriculture","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Agriculture","-1.0","40.200",73300.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Manufacturing","-1.0","49.500",57600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Forestry","790.0","44.100",71500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Institutional","-1.0","26.700",98300.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Energy","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogas","Boilers","-1.0","-1.000",0.00,2.70,0.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Residential","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Agriculture","-1.0","40.200",80700.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Agriculture","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Institutional","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Institutional","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Fisheries","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Energy","-1.0","29.500",112000.00,200.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Construction","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Energy","-1.0","9.760",106000.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Energy","940.0","40.400",77400.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Energy","740.0","44.300",69300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Fisheries","-1.0","9.760",106000.00,300.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Agriculture","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Agriculture","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Manufacturing","710.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Manufacturing","-1.0","11.600",100000.00,20.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil No.4","General","909.0","41.690",75982.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Fisheries","-1.0","43.000",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Construction","1000.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Manufacturing","-1.0","27.400",79600.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Construction","710.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Boilers","-1.0","38.100",73300.00,3.00,0.30,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Commercial","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Agriculture","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Fisheries","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Commercial","-1.0","28.200",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Residential","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Commercial","-1.0","40.200",80700.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Agriculture","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Fisheries","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Residential","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Energy","-1.0","26.700",98300.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Pulp and paper","-1.0","15.600",0.00,12.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Energy","-1.0","40.200",80700.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Construction","-1.0","40.200",73300.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogas","Kilns","-1.0","-1.000",0.00,2.70,0.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Fisheries","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Fisheries","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Fisheries","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Manufacturing","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Fisheries","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Institutional","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Energy","0.9","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Construction","-1.0","9.760",106000.00,2.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Fisheries","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Construction","790.0","44.100",71500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Energy","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Residential","-1.0","25.800",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Energy","-1.0","8.900",107000.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Institutional","-1.0","40.200",73300.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Institutional","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Residential","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Fisheries","-1.0","40.200",73300.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Institutional","-1.0","25.800",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Institutional","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Commercial","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Energy","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Agriculture","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Construction","800.0","42.300",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Fluidised bubbling bed combustor","-1.0","18.900",96100.00,1.00,61.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Manufacturing","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Boilers","-1.0","43.000",74100.00,0.20,0.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Manufacturing","-1.0","28.000",80700.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Residential","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
