"airportName","country","IATACode","fullName","latitude","longitude","units","source"
"Ndola [NLA]","Zambia","NLA","Ndola","-13","28.66","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Lemoore [NLC]","United States","NLC","Lemoore Nas","36.33","-119.95","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nuevo Laredo [NLD]","Mexico","NLD","Quetzalcoatl International","27.44","-99.57","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Burnt Pine [NLK]","Norfolk Island","NLK","Norfolk Island International","-29.04","167.94","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kinshasa [NLO]","Zaire","NLO","Kinshasa Ndolo","-4.32","15.33","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nelspruit [NLP]","South Africa","NLP","Nelspruit","-25.5","30.91","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Daman [NMB]","India","NMB","Daman","20.44","72.84","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Meridian [NMM]","United States","NMM","Meridian Nas","32.55","-88.56","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kentira [NNA]","Morocco","NNA","Kenitra","34.3","-6.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nanning [NNG]","China","NNG","Wuxu","22.61","108.17","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nosara Beach [NOB]","Costa Rica","NOB","Nosara","9.98","-85.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Connaught [NOC]","Ireland","NOC","Connaught","53.91","-8.82","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nogales [NOG]","Mexico","NOG","Nogales International","31.23","-110.98","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Naypyidaw [None]","Myanmar (Burma)","None","Naypyidaw Airport","19.62","96.2","degrees N and E","amee/defra 2008"
"Masbate [NOP]","Philippines","NOP","Mactan International","10.31","123.98","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nosy-Be [NOS]","Madagascar","NOS","Nosy Be Fascene","-13.31","48.31","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Noumea [NOU]","New Caledonia","NOU","La Tontouta","-22.01","166.21","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Huambo [NOV]","Angola","NOV","Huambo","-12.81","15.76","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Port Angeles [NOW]","United States","NOW","Port Angeles Cgas","48.14","-123.41","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Pensacola [NPA]","United States","NPA","Pensacola Nas","30.35","-87.32","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"New Plymouth [NPL]","New Zealand","NPL","New Plymouth","-39.01","174.18","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Millington [NQA]","United States","NQA","Millington Municipal","35.36","-89.87","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kingsville [NQI]","United States","NQI","Kingsville Nas","27.51","-97.81","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Neuquen [NQN]","Argentina","NQN","Presidente Peron","-38.95","-68.16","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Key West [NQX]","United States","NQX","Key West Nas","24.58","-81.69","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Newquay [NQY]","United Kingdom","NQY","St Mawgan","50.44","-5","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Norderney [NRD]","Germany","NRD","Norderney","53.71","7.23","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Norrkoeping [NRK]","Sweden","NRK","Kungsangen","58.59","16.25","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Roosevelt Roads [NRR]","Puerto Rico","NRR","Roosevelt Roads Ns","18.25","-65.64","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Tokyo [NRT]","Japan","NRT","New Tokyo International","35.76","140.39","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Milton [NSE]","United States","NSE","Whiting Field Nas North","30.72","-87.02","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nelson [NSN]","New Zealand","NSN","Nelson","-41.3","173.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nakhon Si Thammarat [NST]","Thailand","NST","Cha Ian","8.47","99.96","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Sigonella [NSY]","Italy","NSY","Sigonella","37.4","14.92","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Point Mugu [NTD]","United States","NTD","Point Mugu Nas","34.12","-119.12","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nantes [NTE]","France","NTE","Nantes Atlantique","47.15","-1.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Tustin [NTK]","United States","NTK","Tustin Mcaf","33.71","-117.83","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Newcastle [NTL]","Australia","NTL","Newcastle Airport","-32.8","151.83","degrees N and E","amee/defra 2008"
"Monterrey [NTR]","Mexico","NTR","Del Norte International","25.87","-100.24","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oceana [NTU]","United States","NTU","Oceana Nas","36.82","-76.03","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Pilanesberg [NTY]","South Africa","NTY","Pilanesberg","-25.33","27.17","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nuremberg [NUE]","Germany","NUE","Nuremberg","49.5","11.08","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
