"region","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","regionName","gridRegion","units","source"
"MROW","non baseload",3.7435,3.6304,6.2192,1988.6930,53.5901,32.9798,2000.0421,,"MRO West","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYLI","non baseload",1.4251,1.3364,2.1349,1397.8029,44.0816,6.9939,1400.8967,,"NPCC Long Island","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NEWE","non baseload",0.8070,0.7584,2.4570,1204.9054,60.6945,13.4104,1210.3372,,"NPCC New England","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYCW","non baseload",0.9107,0.8936,0.7154,1234.0555,37.6508,4.8827,1236.3598,,"NPCC NYC/Westchester","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NYUP","non baseload",1.4287,1.2893,5.3505,1384.197,31.5538,16.1913,1389.8789,,"NPCC Upstate NY","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCE","non baseload",2.1931,1.7993,9.7750,1671.9638,33.2897,22.1949,1679.5433,,"RFC East","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCM","non baseload",2.1878,1.7064,6.6509,1803.6351,32.0854,27.3301,1812.7812,,"RFC Michigan","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RFCW","non baseload",3.2024,2.2120,11.6345,1982.0543,24.3019,31.4751,1992.3219,,"RFC West","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRMW","non baseload",2.4532,1.5207,6.9192,1945.6617,24.0187,29.6855,1955.3686,,"SERC Midwest","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRMV","non baseload",1.5027,1.5747,1.1215,1171.0488,28.2513,6.9133,1173.7852,,"SERC Mississippi Valley","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRSO","non baseload",2.1828,1.7771,8.4600,1551.0520,28.5021,21.6943,1558.3758,,"SERC South","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRTV","non baseload",2.9453,1.8351,7.2787,1917.2481,25.9829,30.0519,1927.1098,,"SERC Tennessee Valley","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SRVC","non baseload",2.0702,1.5899,7.9666,1661.1058,38.0110,24.5139,1669.5033,,"SERC Virginia/Carolina","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SPNO","non baseload",3.2652,2.9412,5.6117,1958.2210,25.3974,27.7488,1967.3565,,"SPP North","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SPSO","non baseload",1.9948,1.8466,1.9899,1435.2426,25.0341,13.1366,1439.8407,,"SPP South","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CAMX","non baseload",0.3481,0.3213,0.1699,1045.3015,39.4245,4.7392,1047.5986,,"WECC California","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NWPP","non baseload",1.8687,1.9246,0.7560,1279.5768,43.3115,15.7515,1285.3693,,"WECC Northwest","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RMPA","non baseload",1.8311,1.8692,1.6391,1554.3810,23.1706,16.4525,1559.9679,,"WECC Rockies","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AZNM","non baseload",1.0408,1.0189,0.4500,1211.8359,20.5583,9.3055,1215.1523,,"WECC Southwest","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"US","non baseload",1.9542,1.6205,5.0676,1520.2135,32.2275,18.4110,1526.5977,,"United States","US",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
