"country","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","units","source"
"Cambodia",1.0049344,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cameroon",0.0425357,0.0007936,0.0001587,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Canada",0.1841790,0.0039029,0.0035132,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Chile",0.2942425,0.0058629,0.0041711,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"People's Republic of China",0.7878700,0.0073237,0.0074720,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"China (including Hong Kong)",0.7883087,0.0145798,0.0184125,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Chinese Taipei",0.6316800,0.0137507,0.0088192,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Colombia",0.1496172,0.0027956,0.0018512,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Congo",0.1023289,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Democratic Republic of Congo",0.0027816,0.0001110,0.0000222,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Costa Rica",0.0473985,0.0005724,0.0001145,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Cote d'Ivoire",0.4362172,0.0097972,0.0010349,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Croatia ",0.3183980,0.0130033,0.0130896,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Cuba",1.0194389,0.0395577,0.0079113,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Cyprus",0.7582802,0.0381748,0.0076350,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Czech Republic",0.5266290,0.0078264,0.0107357,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Denmark",0.3413390,0.0118138,0.0083140,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Dominican Republic",0.6238551,0.0445821,0.0101728,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Ecuador",0.3957349,0.0152319,0.0030380,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Egypt",0.4698084,0.0136471,0.0017746,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"El Salvador",0.2167277,0.0176401,0.0035280,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Eritrea",0.6903420,0.0384497,0.0076899,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Estonia",0.6401581,0.0208543,0.0281007,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Ethiopia",0.0029140,0.0003982,0.0000796,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Finland",0.2415920,0.0039520,0.0034770,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"FYR of Macedonia ",0.7725054,0.0181045,0.0245329,"Dummy","EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"France",0.0849530,0.0013634,0.0009347,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Gabon",0.3466605,0.0101134,0.0017722,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Georgia",0.1449678,0.0039236,0.0005174,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Germany",0.4036290,0.0063685,0.0077941,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Ghana",0.2756985,0.0069337,0.0013867,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Gibraltar",0.7304305,0.0516784,0.0103357,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Greece",0.7249640,0.0145325,0.0114127,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Guatemala",0.3344147,0.0206782,0.0059262,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Haiti",0.3051825,0.0341673,0.0068335,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Honduras",0.4132526,0.0165625,0.0033125,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Hong Kong",0.8546126,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hungary",0.3439270,0.0100939,0.0054046,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Iceland",0.0005420,0.0000257,0.0000051,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"India",0.9440385,0.0166388,0.0195881,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Indonesia",0.6767253,0.0204065,0.0085527,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Islamic Republic of Iran",0.5143547,0.0187418,0.0027908,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Iraq",0.7009096,0.0380909,0.0076182,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Ireland",0.5353330,0.0162284,0.0076531,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Israel",0.7736510,0.0176916,0.0131805,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Italy",0.4035120,0.0177278,0.0048240,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Jamaica",0.8297551,0.0371589,0.0074318,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Japan",0.4183460,0.0083881,0.0046537,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Jordan",0.6018739,0.0378684,0.0074556,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Kazakhstan",0.5200265,0.0188806,0.0215000,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Kenya",0.3174905,0.0134242,0.0026848,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Dem. People's Republic of Korea",0.5331955,0.0073237,0.0074720,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Korea",0.4643370,0.0075830,0.0067237,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Kuwait",0.6429168,0.0333082,0.0063316,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Kyrgyzstan",0.0791610,0.0020879,0.0016776,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Latvia",0.1673881,0.0130033,0.0130896,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Lebanon",0.6946497,0.0401148,0.0080230,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Libya",0.8788286,0.0369903,0.0070463,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Lithuania",0.1394820,0.0062933,0.0010307,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Luxembourg",0.3260470,0.0069397,0.0050513,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"FYR of Macedonia",0.6189059,0.0181045,0.0245329,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Malaysia",0.6553582,0.0198435,0.0036509,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Malta",0.8340854,0.0597713,0.0119543,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Mexico",0.5412850,0.0167598,0.0023024,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Republic of Moldova",0.4755680,0.0130033,0.0130896,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Mongolia",0.5233100,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Morocco",0.7079012,0.0187393,0.0146708,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Mozambique",0.0010178,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Myanmar",0.3382211,0.0233626,0.0031813,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Namibia",0.0756469,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Nepal",0.0037996,0.0009323,0.0001865,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Netherlands",0.3943150,0.0099775,0.0049217,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Netherlands Antilles",0.7170685,0.0408954,0.0081791,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"New Zealand",0.3091000,0.0030724,0.0008396,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Nicaragua",0.5497637,0.0422268,0.0084454,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Nigeria",0.3861378,0.0144353,0.0018947,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Norway",0.0068670,0.0000295,0.0000139,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Oman",0.8561127,0.0182142,0.0025770,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Pakistan",0.4128082,0.0314567,0.0054906,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Panama",0.2288439,0.0165116,0.0033023,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Paraguay",0.0000000,0.0000035,0.0000007,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Peru",0.1723235,0.0053431,0.0013493,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Philippines",0.4350061,0.0155392,0.0077688,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Poland",0.6586500,0.0108424,0.0152822,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Portugal",0.4164240,0.0145896,0.0071085,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Qatar",0.6257141,0.0115601,0.0011560,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Romania",0.4286050,0.0144323,0.0113452,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Russia",0.3285654,0.0137865,0.0066815,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Saudi Arabia",0.7553734,0.0267800,0.0048671,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Senegal",0.7258949,0.0379268,0.0075781,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Serbia and Montenegro",0.7155911,0.0129094,0.0182813,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Singapore",0.5360586,0.0399711,0.0074257,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Slovak Republic",0.2234120,0.0035737,0.0032398,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Slovenia ",0.3317589,0.0067366,0.0091513,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"South Africa",0.8689996,0.0108461,0.0162688,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Spain",0.3497940,0.0092323,0.0063087,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Sri Lanka",0.3137244,0.0271724,0.0054345,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Sudan",0.6139183,0.0196239,0.0039248,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Sweden",0.0479660,0.0009192,0.0004552,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Switzerland",0.0257230,0.0002962,0.0000456,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Syria",0.6043992,0.0312943,0.0056384,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Tajikistan",0.0280183,0.0004436,0.0000444,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"United Republic of Tanzania",0.3155122,0.0024892,0.0010500,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Thailand",0.5109283,0.0196721,0.0048874,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Togo",0.4586697,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Trinidad and Tobago",0.7243096,0.0079571,0.0007988,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Tunisia",0.5458586,0.0156625,0.0019585,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Turkey",0.4382220,0.0113477,0.0062782,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Turkmenistan",0.7951304,0.0195102,0.0019510,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Ukraine",0.3443288,0.0103499,0.0099942,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"United Arab Emirates",0.8199856,0.0120472,0.0013179,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"United Kingdom",0.5047330,0.0079288,0.0054933,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"United States",0.5586600,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uruguay",0.2963499,0.0028066,0.0005613,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Uzbekistan",0.4463600,0.0197567,0.0036555,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Venezuela",0.2084422,0.0062802,0.0010606,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Vietnam",0.3963138,0.0129654,0.0038899,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
