country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Czech Republic,electricity distribution and transmission,0.04456,0.06462,0.00864,0.07326,0.698238206,0.301761794,0.080384403,0.166246926,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Denmark,electricity distribution and transmission,0.1214,0.04301,0.00575,0.04876,0.52956153,0.47043847,0.050942013,0.200567181,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Estonia,electricity distribution and transmission,0.00898,0.12729,0.01702,0.14431,0.590451394,0.409548606,0.152134854,0.150683943,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Finland,electricity distribution and transmission,0.00566,0.01021,0.00137,0.01158,0.610241692,0.389758308,0.035826752,0.059803012,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
France,electricity distribution and transmission,0.02762,0.0058,0.00078,0.00658,0.924781628,0.075218372,0.069852197,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Germany,electricity distribution and transmission,0.06459,0.02721,0.00364,0.03085,0.756995062,0.243004938,0.052862984,0.077995903,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Greece,electricity distribution and transmission,0.02609,0.07281,0.00974,0.08255,0.991214148,0.008785852,0.088992743,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hungary,electricity distribution and transmission,0.04097,0.02827,0.00378,0.03205,0.688530217,0.311469783,0.106626343,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ireland,electricity distribution and transmission,0.02337,0.04635,0.0062,0.05255,1,0,0.079251324,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Italy,electricity distribution and transmission,0.02301,0.02418,0.00323,0.02741,0.849128815,0.150871185,0.063247475,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latvia,electricity distribution and transmission,0.01606,0.02718,0.00363,0.03081,0.375188098,0.624811902,0.120181446,0.161384384,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
