"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Carpet","Rubber","Lower",67.500,3.610,,"Cradle to grave",,,"http://people.bath.ac.uk/cj219/"
"Carpet","Rubber","Mean",103.750,5.545,,"Cradle to grave",,,"http://people.bath.ac.uk/cj219/"
"Carpet","Rubber","Upper",140.000,7.480,,"Cradle to grave",,,"http://people.bath.ac.uk/cj219/"
"Carpet","Saturated felt underlay","Impregnated with asphalt or tar",31.700,1.650,,"Cradle to grave","Ref. 94.",,"http://people.bath.ac.uk/cj219/"
"Carpet","Wool",,106.000,5.530,,"Cradle to grave","For per square meter see material profile. See Refs. 63, 201, 202 and 281 (Same author).",,"http://people.bath.ac.uk/cj219/"
"Carpet grout",,,30.800,,,"Not specified","Ref. 169.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% fly ash (CEM II/B-V)","21% fly ash",4.450,0.740,0.750,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% fly ash (CEM II/B-V)","35% fly ash",3.680,0.610,0.620,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% fly ash (CEM II/B-V)","Mean",4.065,0.675,0.685,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% GGBS (CEM II/B-S)","21% GGBS",4.770,0.760,0.770,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% GGBS (CEM II/B-S)","35% GGBS",4.210,0.640,0.650,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","21-35% GGBS (CEM II/B-S)","Mean",4.490,0.700,0.710,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","36-65% GGBS (CEM III/A)","36% GGBS",4.170,0.630,0.640,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","36-65% GGBS (CEM III/A)","65% GGBS",3.000,0.380,0.390,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","36-65% GGBS (CEM III/A)","Mean",3.585,0.505,0.515,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","6-20% fly ash (CEM II/A-V)","20% fly ash",4.510,0.750,0.760,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","6-20% fly ash (CEM II/A-V)","6% fly ash",5.280,0.880,0.890,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","6-20% fly ash (CEM II/A-V)","Mean",4.895,0.815,0.825,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","66-80% GGBS (CEM II/B)","66% GGBS",2.960,0.370,0.380,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
